,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
2011-10-10,6.6594086,6.6524506,6.695122,6.701172,6.7154694,6.68882,6.6955795
2011-10-11,6.6781006,6.703087,6.729294,6.6817627,6.694893,6.695694,6.6879044
2011-10-12,6.689049,6.7124786,6.6905518,6.7009277,6.6871643,6.6820145,6.684952
2011-10-13,6.6613235,6.691902,6.7208023,6.6817627,6.681343,6.7146072,6.6859283
2011-10-14,6.694214,6.6727905,6.6760254,6.70092,6.665436,6.7145996,6.6709366
2011-10-16,6.7047806,6.698883,6.708267,6.6817703,6.6945953,6.684677,6.7098083
2011-10-17,6.695137,6.6891174,6.689995,6.7009277,6.7000504,6.682953,6.700096
2011-10-18,6.6835175,6.6941833,6.693924,6.6817703,6.6733932,6.698906,6.6969604
2011-10-19,6.6963654,6.6923065,6.6759186,6.700737,6.693695,6.696892,6.6791534
2011-10-20,6.6718674,6.655754,6.6940994,6.6817703,6.687271,6.6939697,6.6825333
2011-10-21,6.6666946,6.6881714,6.69812,6.700737,6.690872,6.679451,6.6919556
2011-10-23,6.705353,6.684822,6.688751,6.6817703,6.7121124,6.6899643,6.6735077
2011-10-24,6.694725,6.6843185,6.686699,6.7006683,6.673279,6.6760254,6.6782
2011-10-25,6.6985703,6.710884,6.7210693,6.6817703,6.6807556,6.6930695,6.685295
2011-10-26,6.6848907,6.6919556,6.689537,6.6842957,6.6865005,6.6758957,6.665863
2011-10-27,6.6750946,6.686432,6.689148,6.681938,6.680687,6.671524,6.6434326
2011-10-28,6.682968,6.6792145,6.6969147,6.676964,6.686638,6.6566315,6.6595535
2011-10-30,6.6887894,6.686432,6.6913834,6.700943,6.649788,6.668312,6.637871
2011-10-31,6.6914444,6.678955,6.6688538,6.6701965,6.652237,6.647995,6.6476135
2011-11-01,6.700058,6.682312,6.655945,6.656067,6.6386185,6.6115417,6.613983
2011-11-02,6.682205,6.6568985,6.6626663,6.651558,6.642418,6.6412125,6.65744
2011-11-03,6.672127,6.652313,6.643509,6.647873,6.6164474,6.603943,6.6143875
2011-11-04,6.6597595,6.6552277,6.6145935,6.635277,6.6108704,6.6054535,6.6187286
2011-11-06,6.6427307,6.639763,6.630722,6.6127396,6.6392136,6.6245956,6.638405
2011-11-07,6.66185,6.625931,6.6371613,6.6244736,6.623932,6.6318436,6.6152344
2011-11-08,6.624237,6.6208344,6.616394,6.6241455,6.6306,6.6142654,6.613571
2011-11-09,6.6201706,6.6026993,6.621422,6.622284,6.6447372,6.607567,6.5944595
2011-11-10,6.6153336,6.6329575,6.616394,6.605423,6.5987015,6.6110916,6.605583
2011-11-11,6.613121,6.6030273,6.646164,6.6075516,6.6176834,6.6143036,6.618103
2011-11-13,6.588455,6.6329575,6.604904,6.615532,6.61306,6.6109543,6.6052017
2011-11-14,6.617775,6.6096573,6.622429,6.6220703,6.628311,6.6157837,6.618294
2011-11-15,6.6460266,6.5893173,6.6190567,6.6290436,6.6195526,6.6111984,6.605072
2011-11-16,6.6047363,6.600891,6.638054,6.603195,6.6058044,6.624214,6.618492
2011-11-17,6.603325,6.60466,6.6064224,6.623932,6.620384,6.614151,6.6049423
2011-11-18,6.6169586,6.612953,6.6305695,6.6136703,6.605545,6.6175385,6.6191254
2011-11-20,6.628395,6.6256866,6.60038,6.6060257,6.6206436,6.61425,6.6048737
2011-11-21,6.620796,6.625717,6.588814,6.6212845,6.605095,6.604233,6.619133
2011-11-22,6.610283,6.6171494,6.608429,6.6046677,6.620781,6.6056137,6.6153717
2011-11-23,6.611458,6.616188,6.6051025,6.6106033,6.604706,6.6284027,6.6257477
