,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
2011-08-30,2459.0425,2437.4373,2413.0146,2388.0774,2363.2104,2336.634,2312.7527
2011-08-31,2433.8796,2409.2654,2383.2288,2359.1377,2332.296,2308.999,2292.2607
2011-09-01,2405.2056,2379.579,2353.784,2327.8062,2305.813,2288.888,2275.584
2011-09-02,2375.6824,2349.708,2322.498,2302.464,2285.9504,2273.21,2261.683
2011-09-04,2345.3472,2318.9492,2298.2393,2283.2424,2271.3154,2259.9927,2248.3325
2011-09-05,2315.3406,2295.0312,2280.4731,2269.657,2258.6045,2246.4263,2235.258
2011-09-06,2291.952,2278.6143,2267.668,2257.2117,2244.7468,2234.4172,2230.6667
2011-09-07,2276.7595,2266.1748,2255.473,2243.0183,2233.703,2230.461,2230.4934
2011-09-08,2264.6077,2254.1516,2240.9941,2233.264,2230.418,2230.491,2228.5447
2011-09-09,2252.739,2239.667,2232.834,2230.4224,2230.4949,2228.5005,2223.2795
2011-09-11,2238.478,2232.6208,2230.401,2230.4895,2228.389,2223.1902,2216.7874
2011-09-12,2232.4949,2230.3982,2230.5005,2228.364,2223.0564,2216.5066,2207.641
2011-09-13,2230.4104,2230.4868,2228.2288,2223.0088,2216.198,2207.2812,2195.8992
2011-09-14,2230.4846,2228.234,2222.8157,2215.9624,2206.859,2195.19,2185.204
2011-09-15,2228.1628,2222.7402,2215.5244,2206.504,2194.449,2184.8335,2179.9775
2011-09-16,2222.6487,2215.251,2205.9497,2193.7563,2184.5503,2179.7886,2172.5566
2011-09-18,2214.945,2205.5662,2192.763,2184.3,2179.66,2172.1494,2159.472
2011-09-19,2205.2097,2192.0322,2183.9534,2179.536,2171.818,2158.6853,2150.2185
2011-09-20,2191.294,2183.6892,2179.284,2171.4814,2158.0051,2150.0107,2142.229
2011-09-21,2183.3552,2179.1462,2170.9512,2157.3103,2149.8174,2141.7893,2135.5857
2011-09-22,2178.9368,2170.5945,2156.4058,2149.704,2141.3826,2135.2783,2132.4858
2011-09-23,2170.1416,2155.8618,2149.4485,2141.0413,2135.1228,2132.0925,2129.2886
2011-09-25,2155.1843,2149.3113,2140.4902,2134.87,2131.8577,2128.8835,2128.9897
2011-09-26,2149.1555,2140.1194,2134.558,2131.5168,2128.9265,2128.9956,2128.9912
2011-09-27,2139.7046,2134.3076,2131.0933,2129.0605,2128.98,2128.9883,2128.2102
