,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
2011-07-06,2.0009975,1.9917058,2.0008645,2.0079985,1.9953408,1.9862046,1.9842701
2011-07-07,1.9907055,1.9963719,1.9911257,1.9928538,1.9904575,1.9858987,1.9808998
2011-07-08,1.9979925,1.999764,1.9908948,1.9853632,1.9851776,1.986043,1.9740186
2011-07-10,1.9963188,1.9922379,1.9868896,1.9865692,1.9811618,1.9825943,1.9780366
2011-07-11,1.986855,1.9876653,1.9868174,1.9834497,1.9805348,1.9758183,1.976467
2011-07-12,1.9882684,1.983475,1.9822696,1.9806639,1.9816331,1.9782683,1.9711448
2011-07-13,1.9955101,1.9846137,1.9860983,1.987395,1.9783465,1.9780052,1.9690169
2011-07-14,1.9840434,1.9805626,1.9796548,1.9712181,1.9711068,1.9725667,1.9637113
2011-07-15,1.9813293,1.9784936,1.9782664,1.9731302,1.970101,1.9621032,1.9490552
2011-07-17,1.9756148,1.9771456,1.9719213,1.9739244,1.9662837,1.9544601,1.9453858
2011-07-18,1.9761117,1.9789879,1.9695253,1.9607054,1.9565505,1.9509823,1.9390721
2011-07-19,1.9733369,1.9742725,1.9633114,1.9540238,1.9436383,1.9400483,1.940773
2011-07-20,1.964664,1.9601059,1.9529833,1.9314849,1.9784722,1.9537829,1.9365668
2011-07-21,1.9556112,1.9473625,1.9457307,1.9524382,1.945312,1.94152,1.9306719
2011-07-22,1.9529498,1.9467803,1.9406614,1.9507906,1.9514267,1.9365377,1.9339541
2011-07-24,1.9501195,1.929962,1.9508911,1.9445292,1.9595608,1.9485934,1.9293485
2011-07-25,1.9676886,1.9467494,1.9293367,1.9393901,1.9386679,1.916642,1.9209404
2011-07-26,1.944756,1.9353938,1.935049,1.9352092,1.920783,1.9185847,1.922941
2011-07-27,1.9487797,1.9158198,1.9311571,1.9390553,1.928266,1.9245967,1.9136436
2011-07-28,1.9309727,1.936866,1.9247482,1.9324224,1.9329418,1.9299178,1.9312506
2011-07-29,1.9289863,1.932182,1.9269533,1.9213623,1.9302391,1.9390993,1.9098295
2011-07-31,1.9355288,1.9337435,1.9237318,1.922593,1.922562,1.9195495,1.922351
2011-08-01,1.9248909,1.9186912,1.919926,1.9135513,1.9149395,1.9106057,1.9145174
2011-08-02,1.9158782,1.9265105,1.9141028,1.9123266,1.9143214,1.9227484,1.9110746
2011-08-03,1.9199849,1.9204843,1.919024,1.9177253,1.9061328,1.9214061,1.9167804
2011-08-04,1.9010018,1.9160382,1.91486,1.914752,1.9147764,1.9150995,1.9144355
2011-08-05,1.9239198,1.9232881,1.9140832,1.911848,1.908776,1.9200178,1.9161156
2011-08-07,1.9157637,1.9186316,1.9039977,1.9160141,1.9136958,1.9131265,1.9191874
2011-08-08,1.9176779,1.9218167,1.9276433,1.914818,1.924201,1.9033878,1.9182146
2011-08-09,1.9133307,1.9102426,1.922399,1.9176674,1.9117024,1.9191757,1.9180822
2011-08-10,1.9171567,1.9114604,1.9113928,1.9179834,1.9112744,1.9098216,1.9050825
2011-08-11,1.9197953,1.9109752,1.922165,1.9162934,1.9156004,1.9075085,1.9205796
2011-08-12,1.9147893,1.9220417,1.9176319,1.9163072,1.9205129,1.9216052,1.9058955
2011-08-14,1.9214573,1.9141483,1.921921,1.925551,1.9169811,1.9171934,1.9186375
2011-08-15,1.9071116,1.9198121,1.9179997,1.9130698,1.9217194,1.9063941,1.9209063
2011-08-16,1.9236974,1.9262936,1.9236577,1.9174364,1.9206723,1.905459,1.9207686
2011-08-17,1.9068459,1.9147651,1.9149572,1.909425,1.9207149,1.9115914,1.919332
2011-08-18,1.907832,1.9175289,1.9107246,1.9029431,1.9129785,1.9167964,1.9197949
2011-08-19,1.9174869,1.9147536,1.9110291,1.9177871,1.9128871,1.9215598,1.9265568
2011-08-21,1.9246536,1.9266864,1.9163885,1.9167991,1.9210693,1.9259523,1.9357638
2011-08-22,1.9237828,1.9205194,1.9063956,1.9194193,1.9237515,1.9439988,1.9459302
2011-08-23,1.9207865,1.9224492,1.9220512,1.9261383,1.9328233,1.9393033,1.9414455
2011-08-24,1.9110239,1.9218688,1.9241278,1.9324591,1.9361864,1.943428,1.9504441
2011-08-25,1.9253964,1.9202793,1.9298851,1.9442139,1.9502628,1.9399513,1.9480724
