,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR
2011-11-11,3509.8984,3496.1365,3488.3953,3530.409,3531.3286,3537.286,3537.366
2011-11-13,3523.7769,3509.9792,3501.3027,3544.1733,3545.2117,3551.169,3551.2444
2011-11-14,3537.62,3522.8867,3515.0674,3558.0566,3559.0947,3565.0474,3565.0874
2011-11-15,3550.5276,3536.6511,3528.9504,3571.9395,3572.9731,3578.8904,3577.995
2011-11-16,3564.292,3550.5344,3542.8333,3585.818,3586.8162,3591.7979,3591.7593
2011-11-17,3578.1748,3564.4172,3556.712,3599.661,3599.7236,3605.5623,3605.642
2011-11-18,3592.0576,3578.2954,3570.555,3612.5684,3613.4883,3619.4448,3619.5254
2011-11-20,3605.9363,3592.1387,3583.4624,3626.333,3627.3713,3633.3281,3633.404
2011-11-21,3619.7793,3605.0464,3597.2268,3640.2158,3641.2544,3647.2068,3647.2466
2011-11-22,3632.6868,3618.8105,3611.1099,3654.0989,3655.1328,3661.0496,3660.154
2011-11-23,3646.4512,3632.6936,3624.993,3667.9778,3668.9756,3673.957,3673.9185
2011-11-24,3660.3345,3646.5764,3638.8716,3681.8203,3681.883,3687.7217,3687.802
2011-11-25,3674.2173,3660.4553,3652.7144,3694.728,3695.648,3701.6047,3701.6846
2011-11-27,3688.0957,3674.2983,3665.6218,3708.4922,3709.5308,3715.4875,3715.5632
2011-11-28,3701.9387,3687.2053,3679.3862,3722.3752,3723.4136,3729.366,3729.4062
2011-11-29,3714.846,3700.97,3693.2695,3736.2583,3737.2922,3743.209,3742.3137
2011-11-30,3728.6106,3714.8528,3707.1519,3750.137,3751.1353,3756.1167,3756.0781
2011-12-01,3742.4937,3728.736,3721.0308,3763.9797,3764.0425,3769.8809,3769.9612
2011-12-02,3756.3767,3742.6147,3734.8735,3776.8875,3777.807,3783.7637,3783.8442
2011-12-04,3770.2551,3756.4575,3747.781,3790.6519,3791.6902,3797.647,3797.723
2011-12-05,3784.098,3769.365,3761.5457,3804.535,3805.573,3811.5256,3811.5654
2011-12-06,3797.0059,3783.1294,3775.4285,3818.4177,3819.4514,3825.3682,3824.4734
2011-12-07,3810.77,3797.0122,3789.3115,3832.2964,3833.2944,3838.276,3838.2373
2011-12-08,3824.6528,3810.8955,3803.1904,3846.1394,3846.202,3852.0405,3852.1204
2011-12-09,3838.5361,3824.7742,3817.0332,3859.0466,3859.9666,3865.923,3866.0034
2011-12-11,3852.4148,3838.617,3829.9404,3872.8115,3873.8494,3879.8062,3879.882
2011-12-12,3866.2573,3851.5244,3843.705,3886.6943,3887.7324,3893.685,3893.725
2011-12-13,3879.165,3865.2888,3857.588,3900.5771,3901.6113,3907.5278,3906.6326
2011-12-14,3892.9292,3879.1719,3871.4712,3914.4556,3915.4536,3920.4353,3920.397
2011-12-15,3906.8125,3893.0547,3885.3496,3928.2986,3928.3613,3934.1997,3934.28
2011-12-16,3920.6953,3906.9333,3899.1924,3941.206,3942.126,3948.0828,3948.1628
2011-12-18,3934.574,3920.7766,3912.0999,3954.9705,3956.0085,3961.9658,3962.0417
2011-12-19,3948.417,3933.684,3925.8643,3968.8535,3969.8918,3975.8447,3975.8845
2011-12-20,3961.3245,3947.4485,3939.7473,3982.7366,3983.7705,3989.6873,3989.7273
2011-12-21,3975.0889,3961.3313,3953.6301,3996.615,3997.6133,4003.53,4004.4907
2011-12-22,3988.9714,3975.214,3967.509,4010.4578,4011.456,4018.2937,4019.289
2011-12-23,4002.855,3989.0928,3981.3518,4024.301,4026.2195,4033.0918,4034.0015
2011-12-27,4016.7334,4002.9355,3995.1948,4039.0642,4041.0178,4047.8042,4048.6323
2011-12-28,4030.5764,4016.7783,4009.958,4053.8625,4055.73,4062.4353,4063.1929
2011-12-29,4044.419,4031.542,4024.7563,4068.5747,4070.3616,4076.9956,4077.686
2011-12-30,4059.1826,4046.34,4039.4683,4083.2063,4084.9219,4091.4888,4093.0095
