,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR
2011-11-13,7.944056,7.923129,7.9499073,7.9175863,7.9564323,7.9319386,7.936474
2011-11-14,7.9400353,7.9197397,7.937154,7.9223366,7.935588,7.9334893,7.9206076
2011-11-15,7.911019,7.9545207,7.9107594,7.9387765,7.9478035,7.9235377,7.9373145
2011-11-16,7.939877,7.948478,7.9349213,7.9232473,7.9222593,7.937155,7.9634647
2011-11-17,7.9287763,7.919048,7.9576178,7.940691,7.9192605,7.9514484,7.9654946
2011-11-18,7.908705,7.925269,7.9172926,7.9593763,7.92157,7.954122,7.979965
2011-11-20,7.9257193,7.9599295,7.952347,7.954982,7.9304647,7.944844,7.973699
2011-11-21,7.9342246,7.9573574,7.94522,7.9454093,7.956033,7.96885,7.979402
2011-11-22,7.933149,7.9544854,7.964849,7.9891853,7.9872046,7.929993,7.997484
2011-11-23,7.956355,7.944639,7.9768977,7.983439,7.9751644,7.9857893,8.007155
2011-11-24,7.9677677,7.9587502,7.98476,7.983714,7.985076,8.015411,8.039013
2011-11-25,7.948841,7.977153,7.987942,7.9855776,8.003768,7.9970984,8.019021
2011-11-27,7.98018,8.019626,8.021248,7.975171,8.014968,7.9951506,8.042884
2011-11-28,7.9848685,8.030326,8.024613,8.030627,8.027,8.042345,8.023531
2011-11-29,7.9918265,8.018798,8.010296,8.009127,8.037985,8.03604,8.006267
2011-11-30,7.9870887,8.008041,8.019178,8.032746,8.020179,8.004494,8.007083
2011-12-01,8.026341,8.093759,8.024103,8.039783,8.018578,7.9949737,8.015922
2011-12-02,8.011527,8.044706,8.045146,8.015707,8.001141,8.012217,8.026665
2011-12-04,8.032982,8.042516,8.00628,7.9885764,8.016044,8.037808,8.029103
2011-12-05,8.031435,8.009304,8.01779,8.028174,8.023868,8.047132,8.043492
2011-12-06,8.00991,8.012462,8.025525,8.055902,8.049759,8.053553,8.085322
2011-12-07,8.005511,8.022476,8.033556,8.025763,8.054015,8.069699,8.089202
2011-12-08,8.040128,8.0395775,8.038889,8.045941,8.08108,8.081476,8.114521
2011-12-09,8.04364,8.01396,8.068089,8.0649805,8.091953,8.083038,8.147555
2011-12-11,8.035128,8.043828,8.086252,8.10328,8.105382,8.13558,8.168963
2011-12-12,8.057445,8.06708,8.107606,8.118959,8.137059,8.139334,8.145051
2011-12-13,8.083633,8.079602,8.091015,8.144489,8.170266,8.215395,8.127476
2011-12-14,8.095991,8.107703,8.134463,8.156928,8.20079,8.165845,8.178916
2011-12-15,8.124263,8.115275,8.175857,8.159796,8.219028,8.180035,8.160756
2011-12-16,8.138826,8.162526,8.175751,8.193163,8.202086,8.226763,8.2065325
2011-12-18,8.1509285,8.151449,8.137094,8.202458,8.207414,8.221653,8.195735
2011-12-19,8.176993,8.14967,8.220891,8.230853,8.251235,8.168999,8.1882
2011-12-20,8.200227,8.145134,8.22354,8.16497,8.184738,8.22118,8.251462
2011-12-21,8.184382,8.2107,8.18917,8.203433,8.174473,8.179233,8.218305
2011-12-22,8.147235,8.258474,8.24397,8.180266,8.181333,8.197564,8.181369
2011-12-23,8.201439,8.217224,8.180287,8.197539,8.216073,8.197893,8.214873
2011-12-27,8.20039,8.188894,8.202854,8.191057,8.234091,8.229948,8.235298
2011-12-28,8.178754,8.206543,8.247357,8.220399,8.228561,8.225093,8.208618
2011-12-29,8.209318,8.250551,8.202378,8.247785,8.179969,8.192764,8.206807
2011-12-30,8.177962,8.250231,8.206594,8.212297,8.219647,8.183061,8.201117
2012-01-02,8.208474,8.210178,8.211564,8.184444,8.222807,8.18757,8.188709
2012-01-03,8.1771555,8.226496,8.1917,8.194454,8.18998,8.165712,8.176923
2012-01-04,8.207635,8.216983,8.206946,8.187791,8.159952,8.159472,8.173487
2012-01-05,8.186245,8.193893,8.206689,8.198997,8.174186,8.201543,8.17382
2012-01-06,8.204692,8.199322,8.168676,8.171934,8.1797905,8.1711235,8.149191
2012-01-08,8.20323,8.179951,8.1828985,8.168783,8.184855,8.177839,8.157365
2012-01-09,8.178297,8.174534,8.171616,8.179076,8.177612,8.166135,8.154971
