,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD
2011-08-31,1.0289296,1.0284412,1.0280828,1.0293323,1.03304,1.0304525,1.0329499
2011-09-01,1.029766,1.0327333,1.0307261,1.0313108,1.0324085,1.0329561,1.0339352
2011-09-02,1.0295907,1.0319533,1.0317423,1.0322745,1.0336883,1.0329237,1.0350931
2011-09-04,1.0302175,1.0304599,1.032081,1.0328217,1.0331484,1.0358168,1.0349511
2011-09-05,1.0311098,1.0316364,1.0329319,1.0333786,1.0340946,1.0331308,1.0337313
2011-09-06,1.0331264,1.0328063,1.0345283,1.0335805,1.0343943,1.035033,1.0336547
2011-09-07,1.0323075,1.0316315,1.0330912,1.0328294,1.0342577,1.0345628,1.0316236
2011-09-08,1.0329978,1.0346282,1.0355327,1.0338924,1.0343148,1.0323386,1.0317056
2011-09-09,1.0358541,1.0340716,1.0342891,1.0342925,1.0320847,1.0324107,1.0322556
2011-09-11,1.0335944,1.0346794,1.0338278,1.033256,1.0314399,1.0320078,1.03185
2011-09-12,1.0351036,1.03579,1.0336902,1.0328685,1.0326111,1.0298074,1.0318977
2011-09-13,1.0360906,1.0339389,1.0362725,1.0318686,1.0321826,1.0293713,1.0343457
2011-09-14,1.0345508,1.0327401,1.0310249,1.0305988,1.0310423,1.0300325,1.0299611
2011-09-15,1.0327119,1.0282607,1.0295614,1.0315663,1.031825,1.029856,1.0313928
2011-09-16,1.0317372,1.0311327,1.0310018,1.0294948,1.0321217,1.0306224,1.0321369
2011-09-18,1.0301806,1.0271685,1.0286155,1.0294131,1.0321437,1.032218,1.0323961
2011-09-19,1.0279195,1.0300131,1.0318385,1.0334218,1.0291426,1.0334826,1.0346311
2011-09-20,1.028839,1.0301079,1.030364,1.0275828,1.0291039,1.028022,1.0301101
2011-09-21,1.0313832,1.031587,1.0313131,1.0328716,1.0289071,1.0320296,1.0320616
2011-09-22,1.0310713,1.0294697,1.0296677,1.0303216,1.033778,1.0309963,1.0308635
2011-09-23,1.0280082,1.0335824,1.0330938,1.0322638,1.0292324,1.0292091,1.029103
2011-09-25,1.0305556,1.0280646,1.0302556,1.0287262,1.0306765,1.0300741,1.0274518
2011-09-26,1.029794,1.0291309,1.0308564,1.0321213,1.0303429,1.0277123,1.0293909
2011-09-27,1.0331409,1.0258446,1.0319028,1.031544,1.0282681,1.0265409,1.0316736
2011-09-28,1.030782,1.032614,1.0307119,1.032329,1.0276475,1.0295073,1.0275159
2011-09-29,1.0319322,1.0295341,1.0291218,1.0294517,1.0286704,1.0302972,1.0223138
2011-09-30,1.0314361,1.032159,1.0296524,1.0304711,1.0276282,1.0239557,1.0175165
2011-10-02,1.0326701,1.030754,1.0270348,1.0284264,1.0231364,1.0174384,1.0183868
2011-10-03,1.0294899,1.0282446,1.0271717,1.0220832,1.0214871,1.0160894,1.0165379
