,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN
2011-11-25,4.378784,4.377725,4.3765574,4.3834014,4.3880415,4.3954005,4.380794
2011-11-27,4.3811517,4.3829827,4.3782167,4.3782067,4.3959413,4.3922925,4.392364
2011-11-28,4.3767443,4.3804927,4.386604,4.389308,4.3991065,4.399109,4.406041
2011-11-29,4.384352,4.3829575,4.3845873,4.398045,4.393288,4.4060044,4.4137716
2011-11-30,4.3963556,4.385472,4.4088063,4.3969083,4.4051766,4.406709,4.4149365
2011-12-01,4.388492,4.4002604,4.3968363,4.407863,4.403643,4.423641,4.424385
2011-12-02,4.39984,4.3973765,4.3999386,4.405767,4.4138517,4.4157934,4.416819
2011-12-04,4.396495,4.412671,4.4307127,4.415917,4.4248686,4.4200807,4.432135
2011-12-05,4.4077187,4.42104,4.424486,4.4076214,4.4242716,4.436468,4.440974
2011-12-06,4.408089,4.410302,4.418316,4.4290237,4.4343414,4.442769,4.4374833
2011-12-07,4.42129,4.4269977,4.4218254,4.4335785,4.4367876,4.451698,4.447401
2011-12-08,4.404558,4.426867,4.443668,4.432831,4.4426193,4.449818,4.4495068
2011-12-09,4.4226213,4.4447737,4.4314384,4.4346147,4.4448037,4.4732494,4.460348
2011-12-11,4.4438396,4.4353194,4.447974,4.4484634,4.435705,4.461622,4.460848
2011-12-12,4.4408164,4.444568,4.451156,4.439779,4.4650345,4.4762344,4.4764905
2011-12-13,4.438344,4.4410453,4.4567266,4.4652424,4.4567947,4.4847374,4.4811697
2011-12-14,4.441744,4.476538,4.442521,4.4785476,4.4735475,4.4733405,4.4584675
2011-12-15,4.4654837,4.45612,4.479348,4.44614,4.4739056,4.478052,4.448523
2011-12-16,4.459987,4.460818,4.465794,4.4600396,4.4587264,4.4844995,4.459035
2011-12-18,4.4684305,4.470896,4.4850006,4.4895525,4.480107,4.496289,4.4842157
2011-12-19,4.463649,4.4791784,4.458647,4.480999,4.4824977,4.482123,4.489907
2011-12-20,4.4849515,4.481677,4.4806185,4.482337,4.4874387,4.4857945,4.480042
2011-12-21,4.510002,4.4831223,4.504189,4.4743853,4.4843626,4.507818,4.4926143
2011-12-22,4.47743,4.4858284,4.470248,4.4851995,4.480532,4.4721794,4.466322
2011-12-23,4.4903855,4.48776,4.4799857,4.4787254,4.47702,4.4785795,4.4799986
2011-12-27,4.4507575,4.4794483,4.48368,4.499259,4.4619646,4.488479,4.48854
2011-12-28,4.4743958,4.5132365,4.490596,4.4544106,4.475763,4.4624615,4.476932
2011-12-29,4.4619837,4.4563117,4.470458,4.4825954,4.457118,4.4847283,4.5012565
