,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF
2011-08-23,269.96606,270.203,270.4597,270.7725,271.33093,271.57492,271.78763
2011-08-24,270.0259,270.37906,270.73657,271.35376,271.62997,271.79794,272.00516
2011-08-25,270.4561,270.74283,271.3709,271.57996,271.84512,271.99924,272.0844
2011-08-26,270.69006,271.42996,271.6024,271.79773,272.0264,271.99802,271.99713
2011-08-28,271.35617,271.57443,271.82037,272.0018,272.0223,271.99368,272.12552
2011-08-29,271.67532,271.7967,271.97382,271.98642,271.9818,272.0252,272.16302
2011-08-30,271.82556,271.97696,271.97232,272.02036,272.09082,272.16037,272.25052
2011-08-31,271.98148,272.03333,272.0097,272.12347,272.1641,272.19672,272.22894
2011-09-01,272.00922,272.00745,272.1416,272.16858,272.21213,272.28027,272.2351
2011-09-02,272.00122,272.09732,272.12454,272.274,272.23672,272.22772,272.25287
2011-09-04,272.1294,272.18546,272.21414,272.13654,272.2811,272.28552,272.36707
2011-09-05,272.1768,272.25253,272.34042,272.28442,272.28427,272.34818,272.3726
2011-09-06,272.23422,272.20575,272.284,272.28342,272.37024,272.37854,272.65247
2011-09-07,272.26193,272.24954,272.28915,272.3209,272.365,272.6332,272.85184
2011-09-08,272.23734,272.27597,272.36725,272.3503,272.61877,272.79752,272.9239
2011-09-09,272.30518,272.3193,272.34998,272.62207,272.86975,272.918,273.399
2011-09-11,272.30676,272.34274,272.64938,272.86136,272.93646,273.40762,273.4843
2011-09-12,272.41263,272.64935,272.84946,272.89865,273.4143,273.44696,273.5046
2011-09-13,272.6611,272.86154,272.89807,273.43683,273.40317,273.5448,274.02942
2011-09-14,272.86362,272.92737,273.38882,273.42767,273.52274,274.0694,274.66724
2011-09-15,272.92676,273.27148,273.43292,273.45657,274.02774,274.6643,274.74063
2011-09-16,273.37656,273.4073,273.5182,274.05762,274.67892,274.73706,274.82193
2011-09-18,273.41476,273.48843,274.08823,274.70978,274.73218,274.82156,274.87527
2011-09-19,273.50488,274.06454,274.69888,274.73245,274.80606,274.858,275.0861
2011-09-20,274.0675,274.68723,274.72806,274.80334,274.84363,275.05667,275.08084
2011-09-21,274.68622,274.73804,274.80634,274.83514,275.08435,275.0838,275.88058
2011-09-22,274.74207,274.74744,274.8364,275.06723,275.1231,275.879,276.583
2011-09-23,274.7523,274.8319,275.04416,275.10297,275.85794,276.56427,277.28247
2011-09-25,274.82632,275.11133,275.10815,275.89108,276.60757,277.22437,277.41107
2011-09-26,275.03976,275.10013,275.90222,276.54727,277.23376,277.4051,279.54733
2011-09-27,275.1141,275.82712,276.56924,277.25012,277.3761,279.61108,281.05768
2011-09-28,275.86017,276.58722,277.2493,277.34988,279.54202,281.07916,282.12082
2011-09-29,276.56476,277.18164,277.3847,279.5014,281.02054,282.1659,283.58286
2011-09-30,277.21124,277.39154,279.55515,281.04956,282.1242,283.55173,286.02277
2011-10-02,277.3551,279.54224,281.08154,282.1315,283.5652,286.02164,286.26172
2011-10-03,279.5646,281.0596,282.16803,283.6019,286.06454,286.27255,286.78055
2011-10-04,281.12714,282.14413,283.55148,286.04947,286.33154,286.85522,286.93814
2011-10-05,282.13596,283.62628,286.03696,286.31094,286.79868,286.8538,287.42093
2011-10-06,283.58325,286.02567,286.29327,286.78653,286.87994,287.42557,289.05933
2011-10-07,286.0648,286.28622,286.82864,286.84286,287.4008,289.0669,289.50336
2011-10-09,286.31253,286.8206,286.8404,287.42914,289.07434,289.47162,289.65222
2011-10-10,286.7584,286.86017,287.38745,289.0365,289.48984,289.56238,289.91177
2011-10-11,286.89667,287.38934,289.0374,289.48444,289.60086,289.91293,290.01416
2011-10-12,287.40244,289.01633,289.47342,289.61914,289.9125,290.01358,290.05634
2011-10-13,289.06546,289.51468,289.57788,289.98083,290.0369,290.14957,291.36487
2011-10-14,289.4709,289.60358,289.9301,290.15643,290.10602,291.34232,291.68982
