,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
2011-08-09,2.3521957,2.3502274,2.3461838,2.362152,2.3899536,2.4064178,2.411377
2011-08-10,2.3515701,2.380516,2.3758545,2.3821335,2.4031143,2.4151993,2.4160004
2011-08-11,2.355278,2.358818,2.3871536,2.4022064,2.4105988,2.4124527,2.4177628
2011-08-12,2.3568115,2.3953247,2.410057,2.4123993,2.4182816,2.4271698,2.4360962
2011-08-14,2.3918915,2.4023361,2.410698,2.4127426,2.42202,2.409195,2.4218216
2011-08-15,2.4068527,2.40876,2.4168396,2.4176025,2.403633,2.4307175,2.424553
2011-08-16,2.4102707,2.4203262,2.4251022,2.424492,2.423645,2.4567032,2.4396439
2011-08-17,2.4154053,2.4171982,2.4405823,2.4306488,2.4389343,2.4476624,2.4495926
2011-08-18,2.422226,2.4231415,2.4264984,2.4319077,2.4433823,2.4476013,2.4498749
2011-08-19,2.4143372,2.4310455,2.4289703,2.4424133,2.446045,2.4521866,2.4655151
2011-08-21,2.4407349,2.4249115,2.4302292,2.451973,2.446701,2.4602356,2.4685287
2011-08-22,2.4341278,2.4448242,2.4443665,2.4585266,2.455368,2.4557648,2.4823532
2011-08-23,2.4382858,2.4451904,2.4612732,2.4697418,2.4647522,2.4785385,2.4828568
2011-08-24,2.4355545,2.4494858,2.4619522,2.4558792,2.469818,2.479515,2.5117798
2011-08-25,2.4489594,2.4573898,2.4583206,2.4742584,2.4836044,2.5021744,2.5101013
2011-08-26,2.4674988,2.4554596,2.467331,2.4686966,2.5061798,2.4934387,2.500908
2011-08-28,2.4464188,2.474846,2.473404,2.5020523,2.5127258,2.5055008,2.509781
2011-08-29,2.4746017,2.4847412,2.497757,2.513916,2.513916,2.512329,2.5057144
2011-08-30,2.4654999,2.5056686,2.502983,2.5052948,2.5027695,2.5070496,2.500557
2011-08-31,2.5006714,2.512001,2.5062714,2.5050278,2.5085297,2.5031815,2.5060349
2011-09-01,2.500267,2.5162659,2.5113144,2.5036163,2.5031738,2.5128174,2.5004883
2011-09-02,2.5012817,2.51297,2.5180206,2.5046005,2.4957352,2.4882126,2.506424
2011-09-04,2.5037537,2.5088425,2.5130386,2.502777,2.5223236,2.5094833,2.5003586
2011-09-05,2.5056152,2.5030594,2.4971542,2.5136948,2.509163,2.503006,2.5065613
2011-09-06,2.5042038,2.4898682,2.507248,2.5058212,2.4954987,2.497902,2.5003586
2011-09-07,2.50103,2.498848,2.5172653,2.5013733,2.4961472,2.5030746,2.5068207
2011-09-08,2.5071716,2.4983444,2.4983215,2.505951,2.5097198,2.4979706,2.5000992
2011-09-09,2.5078506,2.5354385,2.50428,2.5013046,2.5141907,2.5261307,2.4881516
2011-09-11,2.507103,2.4919052,2.4990387,2.5062714,2.4950867,2.4999466,2.5020142
2011-09-12,2.51046,2.5050583,2.4856796,2.5009842,2.5143814,2.5025482,2.507698
2011-09-13,2.5052948,2.519104,2.4963226,2.5062714,2.5219955,2.5043793,2.5015717
2011-09-14,2.5018158,2.5193558,2.486473,2.5007858,2.5136337,2.5039597,2.5078354
2011-09-15,2.5072327,2.512085,2.4988937,2.506462,2.5048676,2.5018845,2.5013733
2011-09-16,2.501686,2.5027542,2.5145035,2.5005264,2.495201,2.507782,2.5297318
2011-09-18,2.507492,2.5013885,2.495079,2.5258026,2.527031,2.4787521,2.4783478
2011-09-19,2.5016785,2.510025,2.5158615,2.5169525,2.4879532,2.491333,2.4714508
2011-09-20,2.5078735,2.5069199,2.5341187,2.5001526,2.4981384,2.4960175,2.481598
2011-09-21,2.5015564,2.5032349,2.4959335,2.4560776,2.4940033,2.483162,2.4884949
2011-09-22,2.5080795,2.4874802,2.478386,2.5045624,2.4911957,2.4809875,2.4884949
2011-09-23,2.5339508,2.5054016,2.4815674,2.4910583,2.4893951,2.482193,2.4816666
2011-09-25,2.4930496,2.477913,2.4851913,2.4757004,2.4850922,2.4794388,2.4670944
2011-09-26,2.4978714,2.480667,2.4908524,2.4906158,2.4897003,2.4891586,2.4692078
2011-09-27,2.4783096,2.4801102,2.4782944,2.4925766,2.4861908,2.4777374,2.4830093
2011-09-28,2.4950104,2.4805756,2.4925232,2.4792252,2.4768143,2.5014725,2.490448
2011-09-29,2.4738922,2.4932022,2.4691315,2.4777374,2.4864655,2.4893646,2.4720993
2011-09-30,2.4937057,2.4708328,2.4865189,2.4702682,2.4842987,2.4869003,2.4922104
2011-10-02,2.4637833,2.479065,2.4593048,2.4800415,2.468666,2.4865189,2.4900818
2011-10-03,2.4643097,2.4934616,2.4783325,2.4895859,2.4831696,2.4838715,2.4684372
2011-10-04,2.4878616,2.4657059,2.4683838,2.4653473,2.4894485,2.4700851,2.4825134
2011-10-05,2.4861221,2.4877243,2.4703522,2.4661179,2.4756088,2.4812164,2.4713058
2011-10-06,2.4932861,2.483055,2.4689484,2.4872818,2.469864,2.4763336,2.4713135
2011-10-07,2.4640198,2.4812088,2.4669647,2.4854736,2.4673996,2.4787216,2.4927063
2011-10-09,2.4748535,2.4878235,2.4749603,2.4876785,2.481865,2.4952545,2.4743652
2011-10-10,2.4725876,2.4733734,2.4687424,2.47464,2.4788895,2.4905624,2.4846115
2011-10-11,2.4672089,2.480095,2.4741974,2.4743042,2.4749756,2.474968,2.47538
2011-10-12,2.4812622,2.477768,2.4716873,2.4842758,2.47966,2.4755478,2.4832382
2011-10-13,2.4807434,2.4884033,2.4639282,2.4659958,2.4741821,2.4874191,2.4793472
2011-10-14,2.4812622,2.4787903,2.483429,2.4733734,2.4934464,2.487671,2.4806442
2011-10-16,2.470192,2.4921875,2.4868698,2.4836578,2.483963,2.487152,2.4672318
2011-10-17,2.4741974,2.4831238,2.4855194,2.4821396,2.4868317,2.4813156,2.4976044
2011-10-18,2.4776993,2.4802017,2.475006,2.4839478,2.486969,2.4921036,2.485611
2011-10-19,2.4858627,2.4833298,2.4777756,2.4791336,2.4897232,2.4878998,2.5004501
2011-10-20,2.4831467,2.487236,2.483101,2.491394,2.4879913,2.499649,2.4842072
2011-10-21,2.4868011,2.4919052,2.4676743,2.482605,2.4982605,2.4943695,2.491516
2011-10-23,2.4804153,2.486534,2.4893494,2.4914932,2.5008087,2.490532,2.4960098
2011-10-24,2.4860382,2.4920502,2.491829,2.4940414,2.4923248,2.4894104,2.4912262
2011-10-25,2.5042953,2.5004425,2.4982529,2.4920502,2.4965515,2.5042343,2.4851685
2011-10-26,2.4893951,2.4902954,2.4941177,2.492752,2.4929886,2.4844818,2.4987335
2011-10-27,2.4976807,2.4901428,2.502655,2.5081558,2.495247,2.4777527,2.5054169
2011-10-28,2.5041199,2.491829,2.492691,2.500145,2.4933548,2.4868622,2.5028763
2011-10-30,2.487938,2.4986267,2.4923096,2.4921875,2.4937057,2.5052338,2.4923477
2011-10-31,2.5047913,2.4999237,2.4996643,2.4907913,2.4980164,2.4939575,2.5030136
2011-11-01,2.4995651,2.486847,2.517662,2.499321,2.5042725,2.5057373,2.4919662
2011-11-02,2.4923477,2.487877,2.4875488,2.5004807,2.5040817,2.494957,2.4869385
2011-11-03,2.501442,2.4720154,2.4984512,2.4960938,2.4880295,2.4943695,2.490944
2011-11-04,2.489952,2.4960785,2.4940262,2.4915543,2.5018768,2.4921265,2.4901276
2011-11-06,2.4867249,2.499794,2.5093307,2.4951172,2.4966202,2.484932,2.490242
2011-11-07,2.4949722,2.4883575,2.503212,2.5024948,2.5010986,2.4878922,2.491829
2011-11-08,2.4989853,2.497261,2.4973907,2.4784546,2.497795,2.4824142,2.4624786
2011-11-09,2.4826126,2.5051727,2.4872894,2.4847107,2.4961014,2.4801636,2.4986649
2011-11-10,2.5002213,2.4905472,2.4926147,2.4917068,2.479988,2.4759064,2.4664612
2011-11-11,2.476616,2.4947891,2.4879684,2.4807816,2.4682846,2.4679794,2.4802475
2011-11-13,2.4961166,2.486084,2.4945679,2.4869232,2.4811707,2.4625092,2.4727707
2011-11-14,2.493782,2.4839096,2.4902573,2.480011,2.4688034,2.4709625,2.464859
2011-11-15,2.4814148,2.4765244,2.491043,2.4726105,2.4660797,2.4634323,2.4897308
2011-11-16,2.4705582,2.4727707,2.4658585,2.4843674,2.4659958,2.4776535,2.4581757
2011-11-17,2.4778976,2.4609299,2.4693604,2.4745102,2.465088,2.460678,2.4758835
2011-11-18,2.4729004,2.5368195,2.4907837,2.4695282,2.489952,2.4739761,2.461876
2011-11-20,2.4623718,2.4632416,2.477295,2.466629,2.4678192,2.4627914,2.4726715
2011-11-21,2.470131,2.4679031,2.482727,2.4692688,2.4654999,2.468979,2.4612732
2011-11-22,2.4781494,2.4763336,2.4719238,2.4792633,2.4675598,2.468895,2.475914
2011-11-23,2.4648514,2.4602966,2.481659,2.4893417,2.4653091,2.460762,2.456192
