,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD
2011-09-21,1.5409805,1.5422127,1.5534959,1.5479705,1.5391963,1.5439692,1.5434754
2011-09-22,1.5416697,1.5345141,1.5460465,1.536711,1.5422013,1.5431561,1.5415154
2011-09-23,1.539217,1.5359869,1.5397544,1.5375311,1.5351033,1.5432845,1.5350167
2011-09-25,1.5310673,1.5392643,1.5376432,1.5360155,1.536406,1.5396634,1.5331825
2011-09-26,1.5452054,1.5425867,1.5420572,1.5385504,1.5431764,1.5404025,1.5423301
2011-09-27,1.5367509,1.5344225,1.5353495,1.5378476,1.5373313,1.5330021,1.5370014
2011-09-28,1.5388587,1.5386055,1.5376189,1.5379776,1.5354409,1.5394332,1.5347757
2011-09-29,1.5391372,1.5340058,1.5351212,1.5434219,1.5399458,1.5418792,1.5407445
2011-09-30,1.5346811,1.5314026,1.5327711,1.5344567,1.5440332,1.5352895,1.5404066
2011-10-02,1.5418694,1.534212,1.5376656,1.5381858,1.5446242,1.5375993,1.5402763
2011-10-03,1.5392141,1.5373929,1.5397912,1.5356044,1.539408,1.5413657,1.5336019
2011-10-04,1.5385997,1.542987,1.5435098,1.5363508,1.5399377,1.535203,1.5336866
2011-10-05,1.5332851,1.5382528,1.5411812,1.5333964,1.5394278,1.5394437,1.5397167
2011-10-06,1.536602,1.5360802,1.536077,1.5388321,1.537174,1.5327122,1.5477738
2011-10-07,1.5324347,1.5336215,1.5351789,1.5395883,1.5347751,1.5359455,1.5431408
2011-10-09,1.5317777,1.5368695,1.5300899,1.5350963,1.5412349,1.5377007,1.5476334
2011-10-10,1.5358328,1.5357074,1.5315537,1.5335739,1.538567,1.5452137,1.5474014
2011-10-11,1.5452751,1.5413108,1.5378286,1.5453362,1.5434804,1.5452116,1.5426706
2011-10-12,1.5356644,1.5304307,1.53842,1.5460823,1.5475817,1.544669,1.5436878
2011-10-13,1.536858,1.5432225,1.5474133,1.5478532,1.5436721,1.5482116,1.5489775
2011-10-14,1.5361304,1.545862,1.5459551,1.5499506,1.546668,1.5444207,1.5404223
2011-10-16,1.5500438,1.5513924,1.5519369,1.5462438,1.546499,1.5489631,1.5476918
2011-10-17,1.5465503,1.5488566,1.5594226,1.545348,1.5453023,1.5480448,1.5270305
2011-10-18,1.545538,1.5456945,1.562253,1.5467173,1.5612941,1.544208,1.5491624
2011-10-19,1.5448042,1.5433228,1.5443612,1.5418818,1.5453633,1.5481744,1.5442756
2011-10-20,1.5486724,1.5522757,1.5511178,1.5462128,1.5473522,1.5479453,1.5445914
2011-10-21,1.5441365,1.5484861,1.545105,1.5503021,1.545196,1.5431671,1.5493748
2011-10-23,1.5387094,1.5378056,1.5434194,1.5389107,1.5411327,1.5228567,1.5506598
2011-10-24,1.549985,1.5567111,1.5540643,1.5813698,1.5404928,1.5533136,1.5549012
2011-10-25,1.5753477,1.5485526,1.5503743,1.5453569,1.5501393,1.544407,1.5511538
2011-10-26,1.5467888,1.5477179,1.5490961,1.5448682,1.5531313,1.551204,1.5441762
2011-10-27,1.5494537,1.5511221,1.5481381,1.5473309,1.5554605,1.5463054,1.5465173
2011-10-28,1.547489,1.5633734,1.545285,1.5469686,1.5450022,1.5463004,1.553434
2011-10-30,1.5511905,1.5525885,1.5481986,1.5451179,1.5514983,1.5472633,1.5434724
2011-10-31,1.5450577,1.5544137,1.5546488,1.5425966,1.5507573,1.5558747,1.5538925
2011-11-01,1.5563302,1.532512,1.5709615,1.5524302,1.5602194,1.5495138,1.554463
2011-11-02,1.5366341,1.5437124,1.5473118,1.5361211,1.5448105,1.543284,1.5377367
2011-11-03,1.5488789,1.5476797,1.5649081,1.5453587,1.5434467,1.5474346,1.5469427
2011-11-04,1.5467389,1.548063,1.5621352,1.5515462,1.5457926,1.5519718,1.5463605
2011-11-06,1.5556717,1.5455341,1.5462459,1.552362,1.5523962,1.5387659,1.5469702
2011-11-07,1.5457622,1.5416417,1.5457097,1.5460515,1.5464088,1.5529665,1.5454042
2011-11-08,1.5552129,1.5374992,1.5473119,1.5475315,1.5482945,1.5472481,1.5464953
2011-11-09,1.5386695,1.5377736,1.5491235,1.5417306,1.5440655,1.5406817,1.5415678
2011-11-10,1.5514491,1.5373299,1.5400325,1.541364,1.548024,1.543492,1.5409594
2011-11-11,1.5479287,1.5441447,1.5519714,1.5484064,1.548281,1.5494264,1.550877
2011-11-13,1.5479339,1.5392582,1.5465851,1.5446875,1.5425117,1.5453045,1.546125
2011-11-14,1.5476528,1.5409871,1.5459527,1.542875,1.5459439,1.5447862,1.5471058
2011-11-15,1.5463074,1.5505377,1.5402349,1.547231,1.5438144,1.5423903,1.5423976
2011-11-16,1.548948,1.549123,1.5483361,1.5427014,1.5414965,1.5451785,1.5479956
2011-11-17,1.5487287,1.544193,1.5482082,1.5407767,1.5460292,1.5474011,1.5403599
2011-11-18,1.5443629,1.5446587,1.5448036,1.5466516,1.5504081,1.5463263,1.5489968
2011-11-20,1.5446546,1.5450022,1.5448596,1.5501848,1.5478334,1.5457816,1.539113
2011-11-21,1.5496426,1.5501125,1.543189,1.5459758,1.5387741,1.5461543,1.5518364
2011-11-22,1.5429344,1.5383309,1.5469353,1.5429742,1.550225,1.5374694,1.5427343
2011-11-23,1.542828,1.5412182,1.5449277,1.5493342,1.546474,1.5476264,1.5474564
2011-11-24,1.5463347,1.5471656,1.5505028,1.5413752,1.5436525,1.5467494,1.5525482
2011-11-25,1.548732,1.5510007,1.5374956,1.5478265,1.551078,1.5552351,1.5542477
2011-11-27,1.5456039,1.5479448,1.5486883,1.5492501,1.5531662,1.555856,1.5546964
2011-11-28,1.5474733,1.5531212,1.55009,1.5537523,1.5536432,1.55266,1.5526124
2011-11-29,1.5432565,1.5475674,1.5529897,1.5550221,1.554789,1.5518781,1.5546583
2011-11-30,1.5479982,1.5509963,1.5532525,1.5509773,1.554889,1.555264,1.5543693
2011-12-01,1.5550017,1.5540514,1.5529702,1.5538522,1.5510415,1.5560578,1.552191
2011-12-02,1.5532238,1.5559114,1.555541,1.5543271,1.5534042,1.5524043,1.5547421
2011-12-04,1.5535403,1.5535614,1.5546873,1.554354,1.5536752,1.5515485,1.5544659
2011-12-05,1.5535969,1.5540998,1.5544502,1.5528674,1.5572274,1.5554812,1.5519876
2011-12-06,1.5534897,1.5517051,1.5567752,1.5504581,1.5510286,1.5563387,1.5547683
2011-12-07,1.5534267,1.5527959,1.5515076,1.5536978,1.5543438,1.5520816,1.5544548
2011-12-08,1.5530635,1.5562708,1.5536551,1.5539219,1.5532937,1.551128,1.5516894
2011-12-09,1.5526048,1.5467492,1.5547395,1.5538659,1.5506744,1.555547,1.5546682
2011-12-11,1.5539825,1.5593972,1.5539967,1.5530274,1.5556072,1.5518255,1.5512646
2011-12-12,1.5550253,1.5551598,1.5515466,1.5575731,1.5444113,1.5507026,1.5525324
2011-12-13,1.5527617,1.5476953,1.5537255,1.5519559,1.5656095,1.561683,1.5494412
2011-12-14,1.5527978,1.5586876,1.5575215,1.5612725,1.5541387,1.5636442,1.5647203
