,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD
2011-10-11,7.7846527,7.797783,7.7834015,7.782982,7.7919235,7.792572,7.7893677
2011-10-12,7.7982407,7.785919,7.781769,7.7946167,7.7926407,7.792572,7.787735
2011-10-13,7.7848053,7.7963104,7.7866287,7.7866974,7.7963715,7.791916,7.7907944
2011-10-14,7.7826233,7.791931,7.7875366,7.797653,7.793297,7.7911453,7.7903595
2011-10-16,7.7914352,7.7926483,7.797264,7.792618,7.7893524,7.790901,7.7907944
2011-10-17,7.792282,7.785721,7.790985,7.7886047,7.790291,7.790245,7.7915573
2011-10-18,7.792938,7.801178,7.7917023,7.7901154,7.7906113,7.7915497,7.7899475
2011-10-19,7.794655,7.7854767,7.784561,7.7915955,7.7894287,7.7890625,7.78743
2011-10-20,7.791481,7.798538,7.7901764,7.7901917,7.7891693,7.784958,7.7843857
2011-10-21,7.7913513,7.7919006,7.788246,7.788513,7.787483,7.786316,7.7808533
2011-10-23,7.791527,7.7887115,7.7895966,7.786064,7.789093,7.7819138,7.773781
2011-10-24,7.790825,7.7878723,7.7910156,7.787079,7.7836227,7.7885056,7.7803497
2011-10-25,7.7897415,7.789665,7.792183,7.7910004,7.782463,7.781418,7.7784576
2011-10-26,7.7897415,7.783943,7.780342,7.7813873,7.7866898,7.790573,7.788513
2011-10-27,7.7843323,7.782112,7.7813797,7.7777023,7.788666,7.777878,7.7830734
2011-10-28,7.7896576,7.785637,7.7882767,7.779701,7.775711,7.786331,7.782547
2011-10-30,7.783722,7.783333,7.784157,7.787033,7.770302,7.7781906,7.785408
2011-10-31,7.7816772,7.7860794,7.7814484,7.772682,7.799835,7.7913666,7.782913
2011-11-01,7.787651,7.7817154,7.7869873,7.7938766,7.769409,7.7706146,7.789749
2011-11-02,7.784027,7.7836914,7.798668,7.774864,7.798683,7.7744446,7.773506
2011-11-03,7.7866974,7.7801895,7.7695236,7.793213,7.762512,7.7703247,7.773842
2011-11-04,7.7704773,7.7924423,7.7973022,7.792778,7.7884293,7.776291,7.77491
2011-11-06,7.800537,7.7750626,7.768997,7.7775497,7.7758255,7.785057,7.779274
2011-11-07,7.7719193,7.7754974,7.787071,7.7686462,7.7735977,7.77124,7.7984543
2011-11-08,7.7898483,7.7825546,7.781151,7.775566,7.77446,7.784683,7.7871017
2011-11-09,7.7776337,7.7787933,7.777931,7.7842026,7.779991,7.799515,7.770912
2011-11-10,7.7702484,7.7790375,7.767082,7.77861,7.768257,7.7186584,7.7756805
2011-11-11,7.785187,7.7760925,7.7895813,7.788101,7.799637,7.7626266,7.773445
2011-11-13,7.777725,7.75795,7.762451,7.7614594,7.768158,7.790184,7.7677
2011-11-14,7.7858734,7.74382,7.780197,7.7923126,7.7857056,7.7638016,7.774086
2011-11-15,7.767105,7.794182,7.8017654,7.762497,7.775772,7.789337,7.775429
2011-11-16,7.7976227,7.756546,7.734741,7.791397,7.789757,7.764763,7.7719574
2011-11-17,7.7606125,7.7859726,7.7930756,7.7636566,7.7579727,7.775757,7.7712097
2011-11-18,7.790146,7.7899857,7.7876663,7.7906265,7.787941,7.7806015,7.779976
2011-11-20,7.759178,7.776367,7.7423096,7.7648773,7.7752457,7.773781,7.779602
2011-11-21,7.783394,7.7721405,7.7830048,7.7712555,7.7736053,7.7746964,7.785736
2011-11-22,7.78067,7.7713394,7.770897,7.7858276,7.7743225,7.7805634,7.771019
2011-11-23,7.770157,7.774727,7.78183,7.773987,7.7881393,7.7841187,7.778282
2011-11-24,7.769058,7.783806,7.7744064,7.7837296,7.7638626,7.771141,7.779213
2011-11-25,7.7789383,7.775223,7.7640076,7.771385,7.764435,7.7823944,7.7640076
2011-11-27,7.7726517,7.781494,7.7820663,7.78051,7.7773895,7.7856293,7.7814865
2011-11-28,7.771904,7.772415,7.7842865,7.7786636,7.782379,7.7648315,7.7808456
2011-11-29,7.784584,7.785095,7.77404,7.7799225,7.785202,7.7789917,7.7922897
2011-11-30,7.7765045,7.7774353,7.7816772,7.778343,7.7843094,7.778801,7.776436
2011-12-01,7.767021,7.784401,7.775261,7.773506,7.7783585,7.791771,7.7652283
2011-12-02,7.7755737,7.777199,7.778816,7.7792435,7.77565,7.7817993,7.783684
2011-12-04,7.7818756,7.7740555,7.776085,7.777237,7.7730637,7.7805634,7.7683563
2011-12-05,7.7808228,7.7786407,7.7753067,7.7761536,7.766365,7.7713776,7.778473
2011-12-06,7.7719955,7.7732697,7.7753525,7.7786484,7.7679443,7.7700195,7.779846
2011-12-07,7.768898,7.78463,7.778328,7.776993,7.777626,7.7817535,7.7723923
2011-12-08,7.7742615,7.7716064,7.783951,7.770851,7.7823563,7.77623,7.7855606
2011-12-09,7.766655,7.776558,7.777939,7.7747574,7.780937,7.7844086,7.789856
2011-12-11,7.788246,7.7677765,7.769058,7.7753067,7.7772446,7.7670975,7.7887497
2011-12-12,7.7730255,7.7873993,7.770706,7.786133,7.7780457,7.7897797,7.777519
2011-12-13,7.7863693,7.780319,7.779701,7.7810974,7.7746887,7.7345886,7.7819595
