,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK
2011-11-16,5.4095416,5.40763,5.4121523,5.412983,5.402254,5.4109426,5.4129424
2011-11-17,5.4130797,5.4080467,5.407634,5.413047,5.4115276,5.4082036,5.4080696
2011-11-18,5.389545,5.3928204,5.3974833,5.397348,5.398798,5.3875375,5.397767
2011-11-20,5.397782,5.4020557,5.4017944,5.3985224,5.397994,5.4011507,5.4045544
2011-11-21,5.414103,5.408925,5.4088707,5.4060254,5.413059,5.4121695,5.410771
2011-11-22,5.3993278,5.4008684,5.407831,5.4052734,5.4017086,5.4107575,5.413485
2011-11-23,5.4075403,5.4070044,5.404974,5.4059954,5.4037275,5.4097567,5.412489
2011-11-24,5.394567,5.402673,5.396863,5.400127,5.4107747,5.4127483,5.4176693
2011-11-25,5.410508,5.415975,5.4023833,5.406225,5.4183507,5.42457,5.4252715
2011-11-27,5.4113455,5.4073815,5.4123325,5.418234,5.42402,5.430145,5.44127
2011-11-28,5.407102,5.4092546,5.419462,5.419977,5.428329,5.434394,5.449037
2011-11-29,5.406754,5.4159203,5.414201,5.4270334,5.4340057,5.4405956,5.4623766
2011-11-30,5.409665,5.41558,5.4203687,5.4365997,5.4546156,5.463876,5.4737263
2011-12-01,5.425621,5.4244275,5.4350123,5.4495764,5.4653196,5.476201,5.490058
2011-12-02,5.4253845,5.4347672,5.4500065,5.4658375,5.4756947,5.49001,5.4984636
2011-12-04,5.4422636,5.4519997,5.4666824,5.4785395,5.499054,5.504117,5.5128984
2011-12-05,5.4530396,5.4680033,5.476946,5.5018945,5.5062838,5.505491,5.5112133
2011-12-06,5.4686995,5.4789667,5.498323,5.4997287,5.5005803,5.517763,5.5197067
2011-12-07,5.475188,5.484743,5.496868,5.501665,5.5041966,5.5164094,5.5214806
2011-12-08,5.4990234,5.517276,5.5156593,5.511729,5.525367,5.51684,5.5331993
2011-12-09,5.5001583,5.5049877,5.504806,5.505974,5.5156517,5.5165043,5.5298986
2011-12-11,5.504217,5.5038996,5.51412,5.521799,5.5278654,5.5301776,5.547098
2011-12-12,5.498587,5.494708,5.514369,5.501631,5.5223675,5.5278435,5.5269976
2011-12-13,5.510826,5.5279703,5.519924,5.5324173,5.528918,5.535071,5.529646
2011-12-14,5.5164776,5.5214033,5.5272245,5.5243797,5.5403404,5.542592,5.5441985
2011-12-15,5.518652,5.522276,5.528102,5.5424623,5.5403047,5.548771,5.5502415
2011-12-16,5.5174904,5.524027,5.5353947,5.5422335,5.5431404,5.5460587,5.548291
2011-12-18,5.5237947,5.5375843,5.539199,5.541708,5.544854,5.552417,5.555915
2011-12-19,5.5331936,5.541485,5.5487137,5.539765,5.550707,5.556723,5.559887
2011-12-20,5.5438876,5.546864,5.548253,5.555048,5.5614185,5.5582676,5.5659943
2011-12-21,5.5508924,5.563132,5.5594454,5.5580497,5.5712013,5.57248,5.564996
2011-12-22,5.5479426,5.548148,5.556037,5.563049,5.567712,5.565128,5.573799
2011-12-23,5.5561347,5.5529366,5.5583553,5.556991,5.5687656,5.570294,5.5715294
2011-12-27,5.5584545,5.5600357,5.5717783,5.5727773,5.570366,5.573978,5.582639
2011-12-28,5.5676937,5.562023,5.562209,5.5758047,5.579754,5.583465,5.5904098
2011-12-29,5.553402,5.559616,5.5666423,5.558152,5.5707006,5.579304,5.593933
2011-12-30,5.57634,5.580451,5.587245,5.5940247,5.5942063,5.6154747,5.626074
2012-01-02,5.5797977,5.5715914,5.5795736,5.5937495,5.6089926,5.625158,5.6698933
2012-01-03,5.573858,5.5848255,5.587682,5.6080484,5.6181507,5.6700826,5.6752224
2012-01-04,5.577854,5.584897,5.604787,5.6197963,5.673815,5.680835,5.6874743
2012-01-05,5.590352,5.601381,5.62071,5.662557,5.6779523,5.6735845,5.684291
