,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
2011-09-19,40.76245,40.78324,40.80017,40.78607,40.79756,40.787857,40.782547
2011-09-20,40.76278,40.787476,40.78411,40.766518,40.79232,40.779037,40.779556
2011-09-21,40.781487,40.800323,40.768982,40.77581,40.757088,40.771698,40.813667
2011-09-22,40.77678,40.758774,40.75992,40.777992,40.787964,40.76098,40.79473
2011-09-23,40.784546,40.770683,40.7491,40.784744,40.78425,40.81785,40.773865
2011-09-25,40.75357,40.763535,40.75863,40.765404,40.75505,40.774002,40.78869
2011-09-26,40.76114,40.80197,40.774887,40.80281,40.81378,40.781303,40.778038
2011-09-27,40.775543,40.77794,40.807922,40.81169,40.755585,40.790016,40.757004
2011-09-28,40.805466,40.781494,40.79521,40.76805,40.81402,40.752876,40.707558
2011-09-29,40.775246,40.81372,40.82885,40.786644,40.748314,40.71277,40.645927
2011-09-30,40.775436,40.794586,40.810493,40.758736,40.69313,40.693428,40.603783
2011-10-02,40.798912,40.7726,40.776833,40.685486,40.727905,40.58535,40.178047
2011-10-03,40.760323,40.73842,40.772507,40.711823,40.65934,40.140053,40.10164
2011-10-04,40.72448,40.70559,40.723236,40.60514,40.14106,40.10398,39.990334
2011-10-05,40.775032,40.74414,40.64189,40.130974,40.122993,40.01396,39.945625
2011-10-06,40.697495,40.629356,40.141678,40.070908,40.047188,39.950623,39.904533
2011-10-07,40.625885,40.17843,40.084625,39.993057,39.9629,39.89589,39.701065
2011-10-09,40.131042,40.102036,39.987038,39.882866,39.886726,39.6593,37.36286
2011-10-10,40.079414,39.99984,39.948944,39.862625,39.679047,37.306892,33.081284
2011-10-11,39.97233,39.928543,39.882812,39.638695,37.363205,33.12876,32.58156
2011-10-12,39.94178,39.880623,39.6904,37.30636,33.141068,32.583138,32.210266
2011-10-13,39.87937,39.70848,37.33618,33.147438,32.599556,32.246727,32.051895
2011-10-14,39.640923,37.338013,33.06653,32.54254,32.21234,32.00592,32.023895
2011-10-16,37.367424,33.23706,32.57155,32.218903,32.037254,32.054756,31.98973
2011-10-17,33.139656,32.57865,32.169838,32.089035,32.041092,32.019012,31.94719
2011-10-18,32.57772,32.193962,32.104538,32.049385,32.007164,31.94197,31.940926
2011-10-19,32.198303,32.071404,32.06633,31.989914,31.985985,31.907715,31.902672
2011-10-20,32.101936,32.01181,31.995384,31.98236,31.986893,31.919785,31.930412
2011-10-21,32.103935,31.96083,31.95131,31.841927,31.901566,31.976288,31.936707
2011-10-23,32.014,31.92295,31.896225,31.895805,31.922485,31.933136,31.930916
2011-10-24,31.953804,31.850494,31.921097,31.908691,31.937584,31.957321,31.905853
2011-10-25,31.935852,31.908012,31.944328,31.954239,31.911583,31.937714,31.92163
2011-10-26,31.92849,31.935432,31.904846,31.909477,31.936867,31.938324,31.918915
2011-10-27,31.92514,31.932846,31.913422,31.916946,31.92788,31.92437,31.921547
2011-10-28,31.941078,31.950012,31.960213,31.834106,31.945343,31.924934,31.905289
2011-10-30,31.93637,31.92414,31.918205,31.927872,31.921768,31.956871,31.947601
2011-10-31,31.929398,31.946335,31.92414,31.938835,31.931221,31.931458,31.925064
2011-11-01,31.923782,31.92414,31.948914,31.914696,31.912178,31.936752,31.9058
2011-11-02,31.939491,31.946335,31.90976,31.882378,31.936562,31.94677,31.932037
2011-11-03,31.905708,31.92414,31.94149,31.893288,31.923561,31.89505,31.983421
2011-11-04,31.907875,31.946335,31.936821,31.940521,31.966118,31.950012,32.028053
