,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD
2011-08-10,0.9575418,0.9570456,0.9538959,0.9532654,0.95843303,0.9559843,0.957497
2011-08-11,0.96274555,0.96241516,0.95933634,0.95988464,0.96160245,0.9598293,0.9616192
2011-08-12,0.95946133,0.960636,0.9576987,0.95819044,0.96108794,0.9610294,0.9616057
2011-08-14,0.9610199,0.9590211,0.95873153,0.95959646,0.96081424,0.9590891,0.9595982
2011-08-15,0.9589933,0.9585495,0.96038365,0.9597317,0.9602274,0.96058893,0.9598725
2011-08-16,0.95985854,0.96257484,0.96118057,0.96082056,0.9618672,0.9634393,0.9613645
2011-08-17,0.9603986,0.9609964,0.96186125,0.9594958,0.96156263,0.96156704,0.9630611
2011-08-18,0.95953053,0.9591148,0.9614738,0.95972097,0.9606147,0.96055305,0.95931286
2011-08-19,0.95986533,0.96139336,0.9614947,0.96112084,0.9606279,0.96110356,0.96035093
2011-08-21,0.9613415,0.96300817,0.96209896,0.9623759,0.9619309,0.96348274,0.9722395
2011-08-22,0.96340775,0.96217483,0.9625199,0.9616033,0.9624282,0.9730034,0.9806684
2011-08-23,0.959785,0.9610107,0.9606017,0.96227443,0.9745716,0.9804479,0.9796308
2011-08-24,0.9617127,0.9622518,0.96221626,0.97353524,0.9804615,0.9814098,0.9804499
2011-08-25,0.9599328,0.95980847,0.9731971,0.976488,0.98097074,0.980104,0.9813833
2011-08-26,0.9603471,0.974754,0.9805778,0.98107177,0.98148394,0.9814464,0.9813611
2011-08-28,0.97202355,0.9790126,0.978227,0.9794805,0.9812093,0.9814856,0.97893167
2011-08-29,0.97571754,0.9810763,0.9812521,0.9803554,0.9816644,0.9826831,0.9852303
2011-08-30,0.98173153,0.9825492,0.9812912,0.9806191,0.9805283,0.9821675,0.9815371
2011-08-31,0.97753876,0.9799994,0.981079,0.9813201,0.98189515,0.981245,0.9852962
2011-09-01,0.9793159,0.9801655,0.9807329,0.98001075,0.9834472,0.98385966,0.9828745
2011-09-02,0.98156476,0.98108464,0.9828042,0.9825133,0.9841784,0.98568195,0.981593
2011-09-04,0.9793145,0.9812236,0.9745865,0.9800827,0.97226626,0.98872054,0.98131835
2011-09-05,0.9775467,0.9730127,0.9803859,0.9797065,0.986248,0.97929347,0.97868013
2011-09-06,0.9834417,0.98749596,0.98253334,0.98608094,0.97253686,0.9875843,0.99343014
2011-09-07,0.97413653,0.98273087,0.9772324,0.9833299,0.9918301,0.98040783,0.9730934
2011-09-08,0.97788435,0.9827433,0.9871061,0.9866165,0.9904362,0.98958933,0.9887814
2011-09-09,0.9866023,0.9820196,0.99446017,0.9862679,0.9875081,0.9888569,0.9944139
2011-09-11,0.98149014,0.9826294,0.98629653,0.98722994,0.98719764,0.9858998,0.988158
2011-09-12,0.9889741,0.9913274,0.9910581,0.9873202,0.9831166,0.98748416,0.99401504
2011-09-13,0.9839214,0.9847505,0.98989826,0.9857528,0.9907206,0.99479866,0.9896667
2011-09-14,0.98225784,0.98332274,0.98687136,0.98430395,0.9808944,0.97797585,0.9842389
2011-09-15,0.98163986,0.9842206,0.98281085,0.98625124,0.9816649,0.98219955,0.98607117
2011-09-16,0.9866092,0.9858118,0.9870024,0.9876377,0.9853903,0.9862917,0.9902843
2011-09-18,0.9850608,0.9838251,0.9883084,0.984411,0.98592615,0.98187494,0.98386884
2011-09-19,0.98886913,0.9871609,0.9868034,0.9877041,0.9912119,0.9884621,0.9884206
2011-09-20,0.9811371,0.98882854,0.9822202,0.98668015,0.9801377,0.98467004,0.9850069
2011-09-21,0.9878193,0.9870036,0.9859017,0.9896153,0.9887074,0.98839176,0.9883503
2011-09-22,0.9887667,0.9852354,0.98839724,0.99005413,0.985024,0.98694944,0.9888321
2011-09-23,0.988292,0.9875179,0.98535216,0.9884386,0.98784524,0.9862901,0.9869728
2011-09-25,0.99150234,0.98855233,0.9883193,0.9875908,0.988013,0.9869275,0.98771894
2011-09-26,0.9886689,0.9881676,0.98745453,0.98953223,0.988659,0.9885783,0.99114645
2011-09-27,0.98776627,0.9863454,0.9888944,0.9857645,0.9882586,0.9870429,0.9889146
2011-09-28,0.9858086,0.9853899,0.9878188,0.9876014,0.9891138,0.9867201,0.98735607
2011-09-29,0.9884349,0.987278,0.9897365,0.9889895,0.98875463,0.9887942,0.98831916
2011-09-30,0.9878926,0.98852146,0.99004155,0.9896562,0.98960495,0.99077904,0.99091494
2011-10-02,0.9866062,0.9874472,0.98886096,0.98858535,0.9895877,0.98895776,0.9903664
2011-10-03,0.9889958,0.9897209,0.9906845,0.9908973,0.9906194,0.99127114,0.99326706
2011-10-04,0.98914576,0.9892877,0.98988545,0.9904475,0.9910586,0.9919881,0.99362445
2011-10-05,0.9888524,0.9896774,0.990126,0.9912606,0.99271977,0.9938482,0.99573755
2011-10-06,0.99044514,0.9899131,0.991477,0.9923686,0.9932093,0.99604344,0.9986768
2011-10-07,0.9904797,0.99181026,0.9919828,0.99399006,0.99576986,0.99880517,1.0009981
2011-10-09,0.9904232,0.9926007,0.9930395,0.99627185,0.99792516,1.0012141,1.0185788
2011-10-10,0.99174726,0.993341,0.9957832,0.9984601,1.0009141,1.0192156,1.0179769
2011-10-11,0.99261653,0.99568367,0.99729407,0.9995389,1.0184431,1.0184956,1.0199745
2011-10-12,0.9954474,0.99769485,0.99969345,1.0182798,1.0188588,1.0190216,1.0180098
2011-10-13,0.9991224,0.99963015,1.0181366,1.0182927,1.0180132,1.0173752,1.0169004
2011-10-14,1.0012482,1.0185618,1.0187575,1.0187284,1.0181412,1.0195143,1.019627
2011-10-16,1.0192293,1.0181999,1.0180933,1.0192133,1.0190837,1.0195341,1.0200813
2011-10-17,1.0183157,1.0192809,1.018167,1.018232,1.0186167,1.0194961,1.0193089
2011-10-18,1.0186323,1.0195189,1.019221,1.021055,1.0187315,1.019793,1.0215127
2011-10-19,1.0198691,1.01775,1.0207126,1.0214468,1.02192,1.0177659,1.0209049
2011-10-20,1.01945,1.0204148,1.0216494,1.0206945,1.0204082,1.0184758,1.016919
2011-10-21,1.0185567,1.0189631,1.0199891,1.0192747,1.0199258,1.0169382,1.0189431
2011-10-23,1.0169243,1.017707,1.0179706,1.0217128,1.0210919,1.018419,1.0167482
2011-10-24,1.0199034,1.019957,1.0201484,1.0178826,1.0176096,1.0185518,1.0202563
2011-10-25,1.0205089,1.0209372,1.0215499,1.0196166,1.0175613,1.0206401,1.0189586
2011-10-26,1.0188758,1.0197144,1.0221269,1.0218256,1.0223494,1.0211033,1.0219779
2011-10-27,1.0212741,1.0174887,1.019933,1.0187421,1.0202305,1.020628,1.0205086
2011-10-28,1.0189322,1.0197306,1.0207725,1.0209544,1.0209391,1.02233,1.0172824
2011-10-30,1.0194104,1.0191387,1.0217669,1.0219352,1.0217179,1.0177892,1.0196321
2011-10-31,1.0184393,1.0193384,1.0233983,1.0168862,1.0197617,1.0186348,1.0197116
2011-11-01,1.0182545,1.0188732,1.0190811,1.0162717,1.019022,1.0175433,1.0146383
2011-11-02,1.0204449,1.0179185,1.0180037,1.0160596,1.0194582,1.0141613,1.0176442
2011-11-03,1.0196068,1.0172465,1.0184125,1.0186019,1.0152552,1.0182593,1.0160289
2011-11-04,1.0158086,1.0176704,1.0307312,1.0170208,1.0172627,1.0176728,1.0189803
2011-11-06,1.0156962,1.0220748,1.018055,1.012964,1.0151088,1.0121548,1.0159014
2011-11-07,1.0180979,1.0224457,1.017683,1.0143423,1.0146234,1.014394,1.0100188
2011-11-08,1.0155036,1.0177033,1.0170593,1.0125117,1.0126507,1.0146254,1.0148687
2011-11-09,1.0196706,1.013522,1.0138459,1.0107415,1.0156066,1.0141615,1.0112747
2011-11-10,1.0172396,1.0183485,1.014493,1.0149431,1.0146604,1.0163691,1.014155
2011-11-11,1.0186726,1.0148335,1.01862,1.0144181,1.0160952,1.0162234,1.0167445
2011-11-13,1.01689,1.0176404,1.0166392,1.0155363,1.0166903,1.0182037,1.017481
2011-11-14,1.0149678,1.012906,1.0152822,1.013534,1.0148463,1.0134598,1.0154057
2011-11-15,1.0148267,1.0139928,1.013855,1.0144286,1.0173607,1.0142688,1.0150019
2011-11-16,1.0177481,1.0146768,1.0165685,1.0168046,1.0133668,1.0125456,1.0151088
2011-11-17,1.0153284,1.0176592,1.0200406,1.0171955,1.0199852,1.0148797,1.0182486
2011-11-18,1.0184891,1.0180514,1.0134852,1.0154674,1.0177321,1.0147588,1.0161777
2011-11-20,1.0148892,1.0148278,1.0158776,1.0133653,1.01748,1.0141602,1.015148
2011-11-21,1.0151815,1.0153675,1.0151247,1.0142558,1.0161312,1.0177112,1.0176127
2011-11-22,1.0158114,1.0166724,1.0169065,1.0157706,1.0156302,1.0174654,1.0172367
2011-11-23,1.0196437,1.0168884,1.0172952,1.0159343,1.016997,1.0165048,1.0161043
2011-11-24,1.0126369,1.0141954,1.0134935,1.0151643,1.0174594,1.0154544,1.015538
2011-11-25,1.0192974,1.0182855,1.0156251,1.0154479,1.0167282,1.0178409,1.0168974
2011-11-27,1.0179722,1.0151238,1.0162627,1.0177196,1.0170627,1.017904,1.0189804
2011-11-28,1.0154274,1.016719,1.0179777,1.0162356,1.0161002,1.0149449,1.0179662
2011-11-29,1.0153091,1.0180023,1.0157825,1.0186689,1.0141878,1.018766,1.0192206
2011-11-30,1.0161614,1.0178561,1.0168359,1.017492,1.0170618,1.0164546,1.0190835
2011-12-01,1.0161698,1.018095,1.0145848,1.0161266,1.0197945,1.0169446,1.0173336
2011-12-02,1.016151,1.0144185,1.0195184,1.0176349,1.0154605,1.0186884,1.0204749
2011-12-04,1.0171953,1.0177653,1.0167575,1.0164251,1.0201378,1.0197942,1.0159663
2011-12-05,1.0152841,1.016191,1.0194027,1.0149758,1.0177699,1.0172372,1.0178957
2011-12-06,1.0200977,1.0160301,1.0141537,1.0167723,1.0165973,1.0165489,1.020075
2011-12-07,1.0172266,1.01605,1.0172858,1.0192264,1.0201926,1.0198361,1.0177101
2011-12-08,1.0144128,1.0158806,1.0152875,1.0161688,1.0199928,1.0159636,1.0163267
2011-12-09,1.020937,1.0240029,1.0164886,1.0163143,1.0182219,1.0186542,1.0211947
2011-12-11,1.0155303,1.0153373,1.017659,1.0180688,1.0199622,1.0192225,1.0222374
2011-12-12,1.0174628,1.0182333,1.019458,1.0192599,1.0193136,1.0221379,1.0225303
