,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-08-08,1.3245943,1.3168197,1.3188529,1.3199073,1.3165127,1.3209376,1.3155648
2011-08-09,1.3246975,1.3177762,1.3184351,1.3186917,1.317671,1.3202122,1.3113209
2011-08-10,1.3295085,1.3230007,1.3141253,1.3133116,1.3161957,1.3109559,1.3102944
2011-08-11,1.3176076,1.3155665,1.3105279,1.3070457,1.3118798,1.3075646,1.3102498
2011-08-12,1.3107458,1.313933,1.3127168,1.313515,1.3116221,1.3129239,1.3041778
2011-08-14,1.3219976,1.3138516,1.3129504,1.3174726,1.3127358,1.3098876,1.3107047
2011-08-15,1.3072188,1.3082299,1.310615,1.3104166,1.3078526,1.3033053,1.3072938
2011-08-16,1.3125179,1.3140972,1.3099715,1.3080349,1.3078542,1.3078902,1.3072026
2011-08-17,1.3144538,1.310868,1.3053166,1.3074896,1.3077915,1.3002839,1.2981778
2011-08-18,1.3102044,1.311965,1.3076856,1.3066679,1.3062011,1.307389,1.3059155
2011-08-19,1.3081838,1.3085263,1.3067108,1.300602,1.3049293,1.2957299,1.2972326
2011-08-21,1.3074945,1.2987086,1.3055859,1.3021816,1.3050846,1.3092269,1.3031464
2011-08-22,1.3067906,1.3072859,1.3054638,1.3092169,1.300311,1.3012811,1.2992965
2011-08-23,1.3040596,1.2976056,1.308044,1.3023435,1.2979589,1.2905672,1.2953799
2011-08-24,1.3026004,1.3059055,1.2962016,1.3040376,1.2983217,1.2983222,1.3038526
2011-08-25,1.2988634,1.2985616,1.2989657,1.2948328,1.2956291,1.3001015,1.2995851
2011-08-26,1.3058513,1.3049281,1.292353,1.3015757,1.3075329,1.307369,1.300513
2011-08-28,1.30214,1.2989513,1.2964578,1.304363,1.3026662,1.3020203,1.3002387
2011-08-29,1.3075751,1.2947643,1.2970845,1.296376,1.304491,1.2986554,1.3033037
2011-08-30,1.2964174,1.2985598,1.2960429,1.3013477,1.3027055,1.2984698,1.2911806
2011-08-31,1.2934504,1.2970289,1.2916397,1.2981752,1.3002841,1.2977477,1.2958945
2011-09-01,1.2968194,1.3091283,1.2963247,1.2954313,1.298064,1.2977118,1.299324
2011-09-02,1.3022516,1.3018723,1.299902,1.2999971,1.2973996,1.2992547,1.2969866
2011-09-04,1.3067495,1.2967994,1.295571,1.2962844,1.2948604,1.2909018,1.2939905
2011-09-05,1.3003229,1.2956109,1.298162,1.2948639,1.2916131,1.2931378,1.2966042
2011-09-06,1.2977275,1.3003141,1.2993822,1.2951902,1.2956297,1.2946496,1.2966866
2011-09-07,1.2967341,1.2930542,1.3002701,1.2904735,1.2958083,1.2964355,1.2941749
2011-09-08,1.2934719,1.2942382,1.2966335,1.2928834,1.2951922,1.294312,1.2931495
2011-09-09,1.2950006,1.2949363,1.295455,1.2924347,1.2978647,1.2937893,1.2950869
2011-09-11,1.2959543,1.2945199,1.2948531,1.2974038,1.2960342,1.3008504,1.3032312
2011-09-12,1.2921996,1.2942337,1.2953287,1.2948018,1.2990563,1.3033174,1.3028193
2011-09-13,1.2908955,1.294658,1.3024988,1.2960072,1.2976162,1.3049061,1.3048456
2011-09-14,1.2951273,1.2979864,1.2978581,1.29927,1.298726,1.2980039,1.3090938
2011-09-15,1.2979194,1.2917082,1.2993764,1.3049399,1.3105836,1.3053688,1.3063661
2011-09-16,1.2997653,1.288169,1.299705,1.2971992,1.3138753,1.3039559,1.3073502
2011-09-18,1.3009669,1.2986449,1.3069105,1.3085885,1.3061479,1.3087395,1.3152323
2011-09-19,1.3060272,1.3012968,1.3104854,1.3168161,1.3109616,1.3183186,1.323652
2011-09-20,1.3008331,1.3005047,1.3066801,1.3084533,1.3135828,1.318226,1.3338394
2011-09-21,1.313104,1.3089044,1.3109721,1.314985,1.3242949,1.3366327,1.3409259
2011-09-22,1.3115013,1.3105373,1.3145387,1.319639,1.3349891,1.3416549,1.352153
2011-09-23,1.3064705,1.3146389,1.3266678,1.3333801,1.3391337,1.3531876,1.3729863
2011-09-25,1.3153479,1.3236786,1.3362405,1.3416667,1.3578815,1.370154,1.3782659
2011-09-26,1.3226627,1.3341317,1.3357855,1.3530607,1.3715591,1.380357,1.3825912
2011-09-27,1.3374329,1.339976,1.3520961,1.3707658,1.3727083,1.378404,1.3847742
2011-09-28,1.3360009,1.3564677,1.3681825,1.3750305,1.3846781,1.3817978,1.3840038
2011-09-29,1.3515422,1.3698102,1.3761832,1.3847548,1.3784292,1.3821214,1.382975
2011-09-30,1.3709583,1.3770009,1.3797444,1.3834114,1.3744844,1.3848429,1.3929056
2011-10-02,1.3733159,1.3795838,1.3828449,1.3873892,1.3848611,1.3902287,1.3932662
2011-10-03,1.3773841,1.3789865,1.386894,1.3906873,1.3903279,1.3831867,1.3897873
2011-10-04,1.3779101,1.3826127,1.3897061,1.3852409,1.3897367,1.3957441,1.3953543
2011-10-05,1.387253,1.3863928,1.3849976,1.3958578,1.3890305,1.393679,1.3899188
2011-10-06,1.3883544,1.3932364,1.3941861,1.3904674,1.3905461,1.394052,1.4023457
2011-10-07,1.3905132,1.389877,1.3878539,1.3897388,1.3952241,1.3981128,1.3962648
