,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
2011-07-11,2234.1953,2240.8647,2237.963,2237.8171,2242.6191,2247.6116,2250.543
2011-07-12,2247.2854,2254.8958,2253.1316,2253.0024,2257.682,2262.5632,2264.3975
2011-07-13,2261.3162,2270.064,2268.317,2268.065,2272.6335,2276.418,2279.1042
2011-07-14,2276.4849,2285.2493,2283.3794,2283.0166,2286.4883,2291.1248,2293.8618
2011-07-15,2291.67,2300.312,2298.3313,2296.8713,2301.1948,2305.882,2308.5388
2011-07-17,2306.7327,2315.2637,2312.186,2311.5781,2315.9521,2320.559,2323.1365
2011-07-18,2321.6848,2329.1182,2326.8926,2326.3354,2330.6294,2335.1567,2337.666
2011-07-19,2335.5388,2343.8252,2341.6501,2341.0125,2345.227,2349.6865,2351.1575
2011-07-20,2350.2456,2358.5828,2356.327,2355.6104,2359.757,2363.1777,2365.5078
2011-07-21,2365.003,2373.2595,2370.925,2370.14,2373.2478,2377.5278,2379.9355
2011-07-22,2379.6802,2387.8574,2385.4546,2383.6313,2387.5986,2391.956,2394.311
2011-07-24,2394.278,2402.3875,2398.9458,2397.9814,2402.0264,2406.3315,2408.6362
2011-07-25,2408.8079,2415.8784,2413.296,2412.4094,2416.4014,2420.6567,2422.9102
2011-07-26,2422.2988,2430.2288,2427.724,2426.7847,2430.727,2434.9307,2436.185
2011-07-27,2436.6492,2444.6565,2442.099,2441.11,2445.001,2448.2053,2450.32
2011-07-28,2451.0771,2459.032,2456.4248,2455.384,2458.276,2462.3406,2464.5505
2011-07-29,2465.452,2473.3572,2470.6985,2468.659,2472.4114,2476.571,2478.742
2011-07-31,2479.7776,2487.631,2483.9734,2482.7942,2486.641,2490.7622,2492.8992
2011-08-01,2494.0513,2500.906,2498.1086,2497.0244,2500.833,2504.9192,2507.018
2011-08-02,2507.3264,2515.0413,2512.339,2511.2158,2514.9893,2519.0388,2520.1597
2011-08-03,2521.4614,2529.2715,2526.5305,2525.3728,2529.1091,2532.18,2534.1626
2011-08-04,2535.6917,2543.463,2540.6873,2539.4922,2542.2502,2546.1826,2548.2659
2011-08-05,2549.8833,2557.6199,2554.8066,2552.633,2556.2532,2560.286,2562.3428
2011-08-07,2564.04,2571.739,2567.9478,2566.6357,2570.3564,2574.3633,2576.3914
2011-08-08,2578.1592,2584.8806,2581.9504,2580.7393,2584.4333,2588.4119,2590.4153
2011-08-09,2591.3003,2598.8833,2596.0542,2594.8164,2598.4822,2602.4358,2603.4712
2011-08-10,2605.3032,2612.9866,2610.1313,2608.8647,2612.506,2615.4917,2617.3933
2011-08-11,2619.4065,2627.0637,2624.1794,2622.889,2625.5618,2629.4133,2631.4233
2011-08-12,2633.4834,2641.1123,2638.2036,2635.9448,2639.4841,2643.4434,2645.4294
2011-08-14,2647.532,2655.1362,2651.2595,2649.8667,2653.514,2657.4497,2659.4153
2011-08-15,2661.5562,2668.1921,2665.1814,2663.897,2667.52,2671.4353,2673.3765
2011-08-16,2674.6118,2682.1138,2679.2114,2677.903,2681.5056,2685.397,2686.3767
2011-08-17,2688.5337,2696.1443,2693.2178,2691.8884,2695.4673,2698.397,2700.2422
2011-08-18,2702.564,2710.1504,2707.2034,2705.85,2708.467,2712.2627,2714.2253
2011-08-19,2716.5703,2724.136,2721.1646,2718.8503,2722.3328,2726.2456,2728.1833
2011-08-21,2730.556,2738.0974,2734.1648,2732.7156,2736.3162,2740.2039,2742.1228
2011-08-22,2744.517,2751.0974,2748.0305,2746.6987,2750.274,2754.143,2756.046
2011-08-23,2757.5173,2764.9631,2762.0134,2760.657,2764.2131,2768.066,2769.0146
2011-08-24,2771.383,2778.946,2775.9714,2774.5962,2778.1365,2781.0352,2781.903
