,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR
2011-11-10,3084.2932,3091.8684,3100.9272,3105.6772,3107.3672,3111.8325,3111.9795
2011-11-11,3097.6006,3099.7153,3106.6306,3108.5068,3112.052,3111.9912,3111.984
2011-11-13,3100.933,3105.0576,3109.0513,3111.956,3111.9849,3111.9883,3112.0
2011-11-14,3106.646,3108.2153,3111.9636,3111.9875,3111.9927,3111.9912,3111.9922
2011-11-15,3109.0713,3112.0544,3111.9897,3111.9995,3111.986,3111.9924,3111.9878
2011-11-16,3111.9497,3111.991,3111.9883,3111.9917,3111.9817,3111.9834,3111.9858
2011-11-17,3111.9866,3111.9814,3111.9866,3111.9897,3111.989,3111.9912,3111.3164
2011-11-18,3111.9866,3111.999,3111.9836,3111.986,3111.9917,3111.3105,3108.8203
2011-11-20,3111.9866,3111.9785,3112.0046,3111.9866,3111.2998,3109.155,3103.7605
2011-11-21,3111.9866,3111.9949,3111.9968,3111.2988,3109.1177,3104.2124,3096.915
2011-11-22,3111.9866,3111.9915,3111.3066,3108.8228,3104.1367,3097.567,3093.9045
2011-11-23,3111.9866,3111.3064,3108.5764,3103.5442,3097.4246,3094.1416,3093.9788
2011-11-24,3111.3164,3108.896,3103.291,3096.7488,3094.08,3093.9739,3091.0774
2011-11-25,3108.5217,3103.7336,3096.8044,3093.9358,3093.983,3091.4268,3086.869
2011-11-27,3103.2283,3096.8445,3094.0342,3093.9807,3091.347,3087.2988,3083.499
2011-11-28,3096.7983,3093.9211,3093.9832,3090.955,3087.241,3084.3022,3080.009
2011-11-29,3094.045,3093.972,3090.6855,3086.682,3084.146,3081.205,3074.0105
2011-11-30,3093.9883,3091.0398,3086.4375,3083.1184,3080.9414,3074.8552,3076.8267
2011-12-01,3090.6904,3086.83,3082.6484,3079.43,3074.638,3077.3372,3077.2708
2011-12-02,3086.4365,3083.3918,3078.7297,3073.5986,3077.217,3077.2627,3077.2651
2011-12-04,3082.642,3079.834,3073.1824,3076.5798,3077.258,3077.2637,3077.2473
2011-12-05,3078.7166,3073.9136,3076.352,3077.2522,3077.2544,3077.2598,3077.2803
2011-12-06,3073.1545,3076.7896,3077.2603,3077.2522,3077.2554,3077.2437,3073.1917
2011-12-07,3076.3289,3077.2788,3077.2769,3077.2642,3077.2515,3073.756,3076.6426
2011-12-08,3077.274,3077.2656,3077.2566,3077.2507,3073.7021,3076.833,3077.2566
2011-12-09,3077.2522,3077.2476,3077.2295,3073.0806,3076.8816,3077.254,3072.939
2011-12-11,3077.2585,3077.244,3072.8806,3076.7231,3077.2515,3073.412,3064.403
2011-12-12,3077.259,3073.3118,3076.741,3077.2212,3073.2312,3065.1768,3056.1045
2011-12-13,3072.85,3076.8303,3077.2686,3072.6848,3064.9749,3057.0024,3049.6843
2011-12-14,3076.713,3077.2495,3072.4697,3063.976,3056.7922,3050.376,3044.3472
2011-12-15,3077.2583,3072.793,3063.557,3055.6687,3050.2107,3045.5925,3029.526
2011-12-16,3072.4355,3064.229,3055.2285,3049.339,3045.2737,3032.2307,3018.2944
2011-12-18,3063.6548,3056.0466,3048.9973,3043.716,3031.5066,3019.9072,3016.7056
2011-12-19,3055.3135,3049.5015,3043.053,3028.1492,3019.4636,3016.698,3016.7046
2011-12-20,3049.068,3044.0615,3026.6553,3017.5703,3016.7664,3016.7383,3016.7349
2011-12-21,3043.1113,3028.9702,3016.6511,3016.7263,3016.7437,3016.7422,3022.3513
2011-12-22,3026.6833,3017.978,3016.7314,3016.7258,3016.7437,3021.484,3022.7407
2011-12-23,3016.6636,3016.7097,3016.7263,3016.7234,3021.6772,3022.7432,3022.7402
2011-12-27,3016.7295,3016.7605,3016.7712,3022.432,3022.7485,3022.7578,3022.7578
2011-12-28,3016.7458,3016.7207,3022.719,3022.756,3022.7578,3022.771,3028.705
2011-12-29,3016.7295,3022.2383,3022.738,3022.7344,3022.7424,3028.1711,3047.142
2011-12-30,3022.7356,3022.749,3022.7869,3022.7517,3028.399,3045.1,3069.7524
