,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
2011-10-30,104.5963,104.62355,104.53094,104.614044,104.60516,105.38759,105.60661
2011-10-31,104.59533,104.57603,104.59469,104.621895,105.41471,105.60512,105.6169
2011-11-01,104.59598,104.58704,104.60571,105.386955,105.57048,105.68698,105.70243
2011-11-02,104.535614,104.607216,105.42823,105.645676,105.64878,105.704475,105.70945
2011-11-03,104.56869,105.40637,105.62863,105.65342,105.66865,105.71394,105.78713
2011-11-04,105.40933,105.54983,105.66264,105.70006,105.73833,105.76344,105.81024
2011-11-06,105.57179,105.709694,105.72441,105.762856,105.81065,105.82658,105.82821
2011-11-07,105.60021,105.685555,105.70869,105.78008,105.80882,105.83702,105.81201
2011-11-08,105.69146,105.72849,105.78048,105.76772,105.78022,105.83215,105.85911
2011-11-09,105.72462,105.7494,105.84067,105.85221,105.808,105.81381,105.79659
2011-11-10,105.79649,105.82637,105.80227,105.80121,105.827995,105.84905,105.85949
2011-11-11,105.78342,105.809204,105.80405,105.82608,105.84312,105.79868,105.87202
2011-11-13,105.81294,105.780945,105.87657,105.86432,105.83761,105.80258,105.85436
2011-11-14,105.81341,105.81569,105.83541,105.831085,105.77653,105.848816,105.844826
2011-11-15,105.84368,105.81621,105.808235,105.79837,105.823135,105.81832,105.8224
2011-11-16,105.86233,105.80835,105.88069,105.82661,105.851906,105.84066,105.831505
2011-11-17,105.82542,105.81233,105.776085,105.80435,105.84381,105.81576,105.821785
2011-11-18,105.82586,105.835106,105.842636,105.84782,105.803375,105.84262,105.79836
2011-11-20,105.87328,105.80915,105.89862,105.81947,105.85578,105.838196,105.7971
2011-11-21,105.797874,105.83303,105.855,105.823204,105.82827,105.82484,105.79834
2011-11-22,105.83991,105.80902,105.8169,105.80498,105.82598,105.8012,105.73625
2011-11-23,105.84743,105.8374,105.88371,105.80863,105.82536,105.77701,105.73064
2011-11-24,105.83709,105.81208,105.82843,105.807594,105.774445,105.74456,105.701454
2011-11-25,105.822845,105.82081,105.79349,105.81519,105.74084,105.71851,105.67355
2011-11-27,105.79832,105.78422,105.78172,105.76767,105.705986,105.70826,105.62383
2011-11-28,105.781586,105.79669,105.75497,105.7048,105.71766,105.664894,105.60002
2011-11-29,105.76998,105.73671,105.68485,105.72627,105.63537,105.626366,105.51727
2011-11-30,105.708694,105.68462,105.709076,105.61827,105.60633,105.4901,105.182434
2011-12-01,105.73717,105.74988,105.64084,105.59065,105.50853,105.20625,104.76521
2011-12-02,105.6907,105.663895,105.584175,105.50107,105.22057,104.74632,104.682076
2011-12-04,105.65079,105.593925,105.50032,105.224525,104.78086,104.62796,104.61014
2011-12-05,105.59035,105.52064,105.204544,104.7852,104.68905,104.63724,104.518936
2011-12-06,105.51514,105.19551,104.76761,104.62873,104.64191,104.450424,104.26851
2011-12-07,105.19336,104.7574,104.63583,104.6437,104.434746,104.27695,104.16622
2011-12-08,104.78613,104.60439,104.64092,104.467316,104.24855,104.13124,104.109085
2011-12-09,104.668045,104.620186,104.46075,104.28231,104.16204,104.09216,104.13259
2011-12-11,104.62472,104.52955,104.23987,104.23435,104.108215,104.06919,103.98134
2011-12-12,104.47609,104.24847,104.137024,104.12459,104.11299,103.99522,103.91838
2011-12-13,104.33364,104.115654,104.08413,104.078964,103.99729,103.94387,103.90015
2011-12-14,104.11423,104.16555,104.09294,104.04016,103.926575,103.91148,103.893105
2011-12-15,104.0954,104.02774,104.015465,103.90593,103.87729,103.836815,103.85499
2011-12-16,103.97609,103.98234,103.918205,103.915855,103.891014,103.83574,103.830734
2011-12-18,104.01085,103.90516,103.87545,103.86656,103.87899,103.80324,103.75872
2011-12-19,103.9609,103.90708,103.87824,103.85546,103.787506,103.77562,103.73666
2011-12-20,103.91842,103.87817,103.85549,103.80712,103.765465,103.676704,103.677505
2011-12-21,103.88112,103.88464,103.79609,103.77544,103.706825,103.66006,103.68561
2011-12-22,103.85622,103.80529,103.75556,103.71151,103.744286,103.69806,103.65446
2011-12-23,103.81656,103.73604,103.685425,103.70637,103.66503,103.65247,103.28037
2011-12-27,103.72997,103.741554,103.71857,103.68917,103.679344,103.29504,103.25509
2011-12-28,103.724846,103.73126,103.67746,103.6867,103.33579,103.246506,103.00222
2011-12-29,103.698784,103.703514,103.684845,103.3237,103.27458,102.98905,103.01961
2011-12-30,103.66511,103.63553,103.31061,103.24781,103.0165,102.96935,102.8087
