,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK
2011-09-25,7.7396774,7.7481008,7.7162895,7.7519035,7.745421,7.7781305,7.770316
2011-09-26,7.7846646,7.756528,7.7732964,7.778467,7.740975,7.79147,7.7417417
2011-09-27,7.7479916,7.7636952,7.7572503,7.7405224,7.7217875,7.7858233,7.7495265
2011-09-28,7.7526717,7.7685556,7.7495728,7.767189,7.78372,7.7691236,7.7559032
2011-09-29,7.753344,7.770903,7.7910113,7.751885,7.745876,7.743121,7.77033
2011-09-30,7.759852,7.783988,7.7892513,7.757966,7.775733,7.744075,7.775796
2011-10-02,7.744328,7.7565103,7.7490892,7.7522144,7.7385893,7.755379,7.7565126
2011-10-03,7.7649784,7.7977157,7.742122,7.7782865,7.7836285,7.7645245,7.746381
2011-10-04,7.768496,7.7435136,7.7826743,7.740938,7.757825,7.755556,7.743445
2011-10-05,7.731199,7.7799945,7.763656,7.767071,7.759595,7.744048,7.7664623
2011-10-06,7.7369547,7.7693086,7.7541437,7.751979,7.7610908,7.7697744,7.7561345
2011-10-07,7.768416,7.754175,7.7493467,7.7578745,7.7534647,7.761337,7.768096
2011-10-09,7.7612042,7.7560124,7.748715,7.754628,7.7561135,7.772867,7.7680554
2011-10-10,7.776911,7.7676125,7.754862,7.7606163,7.796517,7.7818937,7.768507
2011-10-11,7.728835,7.7651505,7.762827,7.7578735,7.753409,7.7485394,7.764387
2011-10-12,7.7846856,7.744795,7.768462,7.769308,7.807249,7.789472,7.7460914
2011-10-13,7.7528152,7.7704735,7.760885,7.7665277,7.753475,7.7462816,7.778161
2011-10-14,7.762022,7.761944,7.7617664,7.765669,7.7653494,7.7805653,7.7681966
2011-10-16,7.762903,7.7401104,7.768742,7.7519703,7.764881,7.7544417,7.7682586
2011-10-17,7.758742,7.7537107,7.764292,7.774374,7.7653666,7.7811303,7.768342
2011-10-18,7.761825,7.7605734,7.759918,7.764176,7.76487,7.7767987,7.7684116
2011-10-19,7.7627654,7.768842,7.764064,7.7590795,7.7653613,7.7546844,7.7684693
2011-10-20,7.758903,7.760548,7.7618265,7.802181,7.764842,7.777659,7.7685485
2011-10-21,7.756152,7.752531,7.7692823,7.76742,7.7653723,7.7773757,7.7686143
2011-10-23,7.798871,7.755303,7.782411,7.763803,7.764828,7.739755,7.8028607
2011-10-24,7.7620687,7.761758,7.7537637,7.753357,7.765413,7.759214,7.7358494
2011-10-25,7.758838,7.7516017,7.773781,7.7699356,7.764819,7.761056,7.76384
2011-10-26,7.76549,7.780161,7.7627816,7.7629547,7.7654486,7.772987,7.764801
2011-10-27,7.76049,7.754985,7.796951,7.758699,7.764819,7.764441,7.7567124
2011-10-28,7.778886,7.7565703,7.759125,7.7532454,7.79375,7.7728815,7.7788706
2011-10-30,7.7524695,7.7541876,7.776159,7.762481,7.7784467,7.7915134,7.768303
2011-10-31,7.7412925,7.7723913,7.7840457,7.7659664,7.750158,7.7588944,7.765183
2011-11-01,7.7527943,7.7562532,7.7516003,7.783041,7.7633853,7.7775054,7.7483225
2011-11-02,7.758877,7.7537293,7.7661877,7.7557936,7.7270064,7.735814,7.7541227
2011-11-03,7.762608,7.7887044,7.7633424,7.7391524,7.733522,7.723868,7.7513328
2011-11-04,7.768751,7.7681465,7.757453,7.73911,7.7593265,7.7700253,7.728204
2011-11-06,7.757825,7.7684846,7.724356,7.764264,7.7469296,7.7469444,7.747024
2011-11-07,7.787845,7.710686,7.7913675,7.763148,7.7357965,7.7403626,7.747082
2011-11-08,7.7700953,7.7664013,7.738478,7.741326,7.737968,7.735047,7.7549615
2011-11-09,7.75658,7.7358146,7.7556963,7.7307644,7.739456,7.7446256,7.7270865
2011-11-10,7.747902,7.7493753,7.723423,7.7656503,7.726229,7.7412295,7.773575
2011-11-11,7.742318,7.7472954,7.7314014,7.7655,7.743349,7.737791,7.746902
2011-11-13,7.7447457,7.7242775,7.746968,7.739332,7.7478104,7.7280793,7.7554703
2011-11-14,7.789747,7.7565174,7.7423105,7.7128034,7.7603374,7.737674,7.75058
2011-11-15,7.7176285,7.737866,7.7556987,7.764527,7.744241,7.747436,7.7202644
2011-11-16,7.733665,7.7646623,7.7488027,7.725435,7.745833,7.754056,7.7522836
2011-11-17,7.7581725,7.735721,7.737338,7.7643313,7.7485895,7.741932,7.7464437
2011-11-18,7.719462,7.7206335,7.736853,7.736427,7.7248797,7.7490625,7.748025
2011-11-20,7.7358146,7.7513804,7.7860246,7.7161455,7.765071,7.7214108,7.7449017
2011-11-21,7.7510576,7.746696,7.73057,7.7386327,7.724205,7.741429,7.730564
