,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
2011-08-15,0.8141335,0.81216675,0.80403894,0.8023583,0.8017193,0.8005626,0.7946784
2011-08-16,0.81166697,0.8049831,0.8026488,0.8022483,0.79981244,0.7953211,0.7930019
2011-08-17,0.807391,0.8025206,0.8031189,0.8008543,0.7946568,0.793458,0.79272515
2011-08-18,0.8064551,0.80196154,0.79814667,0.79359686,0.7930805,0.7927369,0.79274744
2011-08-19,0.80108416,0.8000908,0.7967115,0.7928014,0.7917291,0.7925937,0.79337454
2011-08-21,0.7994425,0.79389423,0.79327774,0.7916562,0.7903315,0.79164904,0.78930175
2011-08-22,0.79568845,0.7930731,0.7926559,0.7897313,0.79093796,0.7896955,0.790051
2011-08-23,0.7917898,0.7918806,0.7905615,0.7923648,0.79131,0.7887627,0.79119605
2011-08-24,0.7930793,0.7892929,0.79125196,0.7893599,0.78969496,0.7907819,0.790344
2011-08-25,0.791289,0.7909254,0.7898587,0.79027784,0.79029626,0.79359484,0.78890306
2011-08-26,0.79120547,0.78845865,0.79040897,0.79135424,0.79089004,0.7925043,0.7900482
2011-08-28,0.79302406,0.7917445,0.78884554,0.7922345,0.7912727,0.79250306,0.7905265
2011-08-29,0.7898493,0.79292476,0.7912657,0.7922149,0.7896044,0.79250747,0.78896594
2011-08-30,0.792123,0.7915484,0.7922422,0.79008704,0.790224,0.7881429,0.78911346
2011-08-31,0.7929688,0.7892328,0.78891206,0.790082,0.7908196,0.78881407,0.78731126
2011-09-01,0.7911098,0.7895198,0.790163,0.78875107,0.7888577,0.7884692,0.78950703
2011-09-02,0.79120344,0.78980815,0.7892575,0.78849924,0.78792053,0.7881639,0.78786004
2011-09-04,0.79093546,0.790009,0.78926337,0.78938824,0.78915375,0.78910595,0.7885411
2011-09-05,0.78834647,0.7903225,0.79008365,0.7880106,0.78869563,0.7885825,0.7884254
2011-09-06,0.7897672,0.7875826,0.78847706,0.78893137,0.7881294,0.7887664,0.789644
