,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF
2011-11-27,0.9191125,0.9193147,0.9198876,0.9195998,0.9188261,0.9196477,0.9197486
2011-11-28,0.9193556,0.9190025,0.91811633,0.91983217,0.9189097,0.9198445,0.92083853
2011-11-29,0.9207268,0.91805124,0.9200005,0.91978437,0.9192883,0.9204542,0.9204595
2011-11-30,0.9189497,0.9185499,0.91863227,0.919192,0.9207671,0.9211315,0.92121315
2011-12-01,0.9185759,0.9202916,0.9196662,0.9204193,0.9212478,0.9206957,0.92188203
2011-12-02,0.91947865,0.91840994,0.9205965,0.9204596,0.9215843,0.92051166,0.9221019
2011-12-04,0.9195741,0.9202474,0.92107046,0.92066383,0.92124516,0.92194825,0.92221206
2011-12-05,0.9207643,0.92055887,0.92091614,0.9212447,0.9219689,0.9215261,0.92224723
2011-12-06,0.9216463,0.92148834,0.9217679,0.92176497,0.9233297,0.9224736,0.923557
2011-12-07,0.9210429,0.92136383,0.92330223,0.92177767,0.92297167,0.9226586,0.92434675
2011-12-08,0.92206144,0.9215517,0.920771,0.92210615,0.9232646,0.9236972,0.92562044
2011-12-09,0.92276174,0.92300075,0.9237225,0.9235597,0.92507344,0.9255361,0.9254201
2011-12-11,0.92201036,0.92230237,0.9234874,0.9244467,0.9245207,0.9254716,0.9275379
