,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY
2011-08-15,64.80287,64.81959,64.8347,64.78834,64.80349,64.76031,64.65152
2011-08-16,64.81746,64.8194,64.792206,64.80364,64.75295,64.62143,64.49402
2011-08-17,64.813034,64.7972,64.78252,64.75954,64.663216,64.4664,64.40346
2011-08-18,64.79412,64.77355,64.73917,64.624466,64.45978,64.42396,64.37212
2011-08-19,64.76613,64.76961,64.63537,64.467125,64.40399,64.34056,64.29484
2011-08-21,64.75748,64.65514,64.49493,64.405846,64.413155,64.261086,64.19975
2011-08-22,64.67629,64.464134,64.406746,64.361725,64.266495,64.21548,64.057274
2011-08-23,64.46988,64.39331,64.38776,64.27472,64.20242,64.06346,64.01383
2011-08-24,64.40535,64.397995,64.28799,64.185326,64.028656,64.00636,63.891037
2011-08-25,64.43587,64.269844,64.214775,64.047905,64.00946,63.85865,63.835045
2011-08-26,64.23493,64.19455,64.00734,64.0166,63.881184,63.823753,63.80756
2011-08-28,64.18284,64.06402,64.00776,63.885937,63.82402,63.770947,63.81082
2011-08-29,64.042206,63.984905,63.91546,63.841656,63.732677,63.779476,63.770256
2011-08-30,64.03607,63.870846,63.80028,63.7426,63.811184,63.75189,63.714447
2011-08-31,63.888477,63.801643,63.81101,63.742966,63.788773,63.718887,63.692
2011-09-01,63.831688,63.772614,63.787033,63.77332,63.729416,63.699677,63.73265
2011-09-02,63.814953,63.748123,63.790443,63.69491,63.682175,63.698574,63.7405
2011-09-04,63.775784,63.755424,63.741795,63.703613,63.72466,63.70043,63.69494
2011-09-05,63.765717,63.740032,63.719727,63.708458,63.67865,63.699093,63.688522
2011-09-06,63.736298,63.70448,63.681126,63.68722,63.705578,63.678585,63.682724
2011-09-07,63.63785,63.675606,63.747944,63.695446,63.705647,63.68124,63.67609
2011-09-08,63.692528,63.692013,63.718506,63.66098,63.648926,63.66449,63.655724
2011-09-09,63.735233,63.69916,63.681656,63.692852,63.672165,63.632893,63.654774
2011-09-11,63.749733,63.691647,63.66992,63.67196,63.649334,63.628643,63.68326
2011-09-12,63.6659,63.644627,63.66944,63.65333,63.64273,63.63874,63.64161
2011-09-13,63.683037,63.675262,63.668686,63.626026,63.636112,63.65619,63.618298
2011-09-14,63.656822,63.601395,63.64285,63.65844,63.639168,63.594654,63.662735
2011-09-15,63.650196,63.665592,63.65312,63.582428,63.57353,63.63409,63.57168
2011-09-16,63.6406,63.65912,63.68141,63.65232,63.62188,63.581955,63.573498
2011-09-18,63.63843,63.61777,63.62913,63.616764,63.569252,63.56598,63.56025
2011-09-19,63.57239,63.64264,63.632065,63.565544,63.575672,63.586185,63.576817
2011-09-20,63.603676,63.626854,63.58053,63.580822,63.578384,63.59313,63.562782
2011-09-21,63.611916,63.570152,63.58058,63.579445,63.581436,63.574883,63.55263
2011-09-22,63.547115,63.566086,63.56444,63.56462,63.584377,63.548725,63.409042
2011-09-23,63.571045,63.569717,63.57854,63.581375,63.50439,63.444004,63.381226
2011-09-25,63.58665,63.57556,63.57511,63.551693,63.43228,63.36109,63.15727
2011-09-26,63.571255,63.561977,63.546505,63.450172,63.35328,63.14689,63.14919
2011-09-27,63.572243,63.51939,63.419853,63.388794,63.143185,63.156563,62.958755
2011-09-28,63.538612,63.41168,63.37156,63.140392,63.146378,62.94509,62.42199
2011-09-29,63.436924,63.342854,63.1565,63.144352,62.95621,62.43856,61.995842
2011-09-30,63.359135,63.138268,63.15467,62.93413,62.43812,62.03652,61.916386
2011-10-02,63.13106,63.155975,62.962154,62.416553,62.027737,61.917564,61.706863
2011-10-03,63.15358,62.963818,62.423466,62.036232,61.941395,61.681427,61.61638
2011-10-04,62.97304,62.435238,62.04031,61.924774,61.743347,61.60047,61.593567
2011-10-05,62.446014,62.026657,61.904274,61.6608,61.639793,61.572754,60.718533
2011-10-06,62.033844,61.918583,61.696644,61.64483,61.58303,60.74782,60.60705
2011-10-07,61.92943,61.639038,61.64509,61.59102,60.702507,60.603264,60.28913
2011-10-09,61.666965,61.614063,61.589626,60.772438,60.594162,60.29605,60.223206
2011-10-10,61.606895,61.568275,60.72917,60.621143,60.22324,60.213295,60.23892
2011-10-11,61.582703,60.7109,60.57486,60.277058,60.171925,60.22701,60.2137
2011-10-12,60.72735,60.573357,60.27613,60.20997,60.22609,60.211353,60.194374
2011-10-13,60.615803,60.272587,60.217293,60.218586,60.20489,60.230587,60.194298
2011-10-14,60.26926,60.22683,60.1933,60.20503,60.229603,60.22489,60.2156
2011-10-16,60.23723,60.207836,60.211285,60.19447,60.2068,60.17922,60.197914
2011-10-17,60.255474,60.23322,60.226803,60.235027,60.197536,60.205666,59.968224
2011-10-18,60.21902,60.222637,60.199837,60.232277,60.22975,59.926155,59.917564
2011-10-19,60.228966,60.21876,60.228172,60.24684,59.905907,59.88543,59.91459
2011-10-20,60.214005,60.20969,60.224506,59.888912,59.909996,59.925495,59.872738
2011-10-21,60.160046,60.185837,59.921665,59.89726,59.90138,59.90092,59.933887
2011-10-23,60.214912,59.903236,59.92196,59.922703,59.91505,59.90937,59.909885
2011-10-24,59.92126,59.904427,59.897156,59.897026,59.90065,59.86931,59.92491
2011-10-25,59.90786,59.9071,59.88054,59.8584,59.908672,59.935608,59.91386
2011-10-26,59.87707,59.87073,59.89584,59.906986,59.9176,59.919945,59.89646
2011-10-27,59.9208,59.89578,59.889122,59.904987,59.922337,59.89928,59.909477
2011-10-28,59.885048,59.88983,59.89049,59.89656,59.88496,59.91486,59.896576
2011-10-30,59.904167,59.937134,59.83765,59.917767,59.87619,59.8777,59.928036
2011-10-31,59.87861,59.899055,59.926872,59.857746,59.898327,59.91964,59.94419
2011-11-01,59.923912,59.9029,59.878933,59.92387,59.944614,59.93226,60.03043
2011-11-02,59.882103,59.927883,59.881233,59.911457,59.92459,60.10585,60.170956
2011-11-03,59.9414,59.842857,59.92095,59.92002,60.084164,60.229374,60.205128
2011-11-04,59.939865,59.95067,59.919994,60.071056,60.155685,60.206623,60.294167
2011-11-06,59.906296,59.929367,60.070286,60.18747,60.24074,60.25784,60.275543
2011-11-07,59.938362,60.095634,60.163445,60.227493,60.25851,60.24971,60.2803
2011-11-08,60.101643,60.14673,60.204002,60.29467,60.258724,60.291206,60.272343
2011-11-09,60.17874,60.214607,60.28185,60.260445,60.272495,60.336422,60.316555
2011-11-10,60.22317,60.273315,60.266953,60.27752,60.354763,60.28489,60.36022
2011-11-11,60.31091,60.329693,60.27671,60.281994,60.33534,60.27655,60.30696
2011-11-13,60.258286,60.332363,60.29614,60.26844,60.27015,60.272125,60.262203
2011-11-14,60.280396,60.350567,60.240902,60.306927,60.31747,60.31947,60.314434
2011-11-15,60.27587,60.32372,60.341682,60.290646,60.35377,60.31797,60.31814
2011-11-16,60.328926,60.391663,60.29972,60.27973,60.333603,60.37709,60.34135
2011-11-17,60.24383,60.33478,60.333626,60.267822,60.26632,60.313553,60.271397
2011-11-18,60.353676,60.246113,60.26369,60.307674,60.31504,60.325268,60.321873
2011-11-20,60.298668,60.26439,60.334038,60.29037,60.35195,60.246246,60.270157
2011-11-21,60.300797,60.362244,60.276875,60.278763,60.3309,60.288883,60.2958
2011-11-22,60.291885,60.259865,60.293507,60.266357,60.324547,60.298397,60.119415
2011-11-23,60.382256,60.272984,60.369102,60.291965,60.281464,60.18485,60.128967
2011-11-24,60.267757,60.30937,60.283405,60.290436,60.20333,60.129524,60.063763
2011-11-25,60.25937,60.297405,60.253605,60.181465,60.11004,60.106068,60.082504
2011-11-27,60.30017,60.258144,60.19115,60.158016,60.0969,60.10722,60.069946
2011-11-28,60.290134,60.202854,60.116936,60.15931,60.148415,60.09768,60.116085
2011-11-29,60.163376,60.089523,60.10577,60.13331,60.116978,60.09188,60.124516
2011-11-30,60.1514,60.092384,60.105534,60.120438,60.14439,60.109108,60.17868
2011-12-01,60.04084,60.090843,60.135735,60.058357,60.123405,60.186214,60.27107
2011-12-02,60.123276,60.092625,60.10443,60.17194,60.148056,60.275185,60.356194
2011-12-04,60.13572,60.0912,60.10267,60.19292,60.26139,60.40406,60.362057
2011-12-05,60.046204,60.114086,60.21355,60.290104,60.38952,60.310493,60.286057
2011-12-06,60.173824,60.177032,60.27285,60.335117,60.351883,60.26188,60.151787
2011-12-07,60.179703,60.317173,60.370598,60.360325,60.257366,60.126648,60.073223
2011-12-08,60.288033,60.41195,60.403015,60.257298,60.159325,60.08116,60.10501
