,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR
2011-10-09,1276.6041,1276.8484,1276.8223,1276.8303,1276.7971,1276.8016,1276.835
2011-10-10,1276.8406,1276.7814,1276.8251,1276.8364,1276.8151,1276.7787,1255.9204
2011-10-11,1276.7891,1276.6409,1276.7411,1276.7432,1276.7765,1256.054,1246.3633
2011-10-12,1276.6338,1276.7083,1276.7596,1276.7642,1256.037,1246.1393,1237.7382
2011-10-13,1276.9135,1276.8495,1276.7744,1255.4996,1246.4059,1237.578,1231.9862
2011-10-14,1276.6019,1276.782,1256.0022,1246.3701,1237.705,1231.8428,1228.0436
2011-10-16,1276.8417,1255.7333,1246.4265,1237.6049,1231.8901,1228.0221,1227.2328
2011-10-17,1256.0201,1246.3219,1237.5046,1231.7607,1227.958,1227.2313,1225.9547
2011-10-18,1246.2847,1237.4457,1231.9637,1227.8805,1227.1527,1225.9904,1222.1863
2011-10-19,1237.6285,1231.8899,1227.9209,1227.2133,1226.1122,1222.2219,1221.7438
2011-10-20,1232.0729,1227.8303,1227.026,1226.1405,1222.3147,1221.7811,1220.6914
2011-10-21,1227.9318,1227.1444,1226.1576,1222.1166,1221.661,1220.658,1220.86
2011-10-23,1227.072,1226.0045,1222.1978,1221.6743,1220.7256,1220.8123,1220.9034
2011-10-24,1226.0594,1222.0881,1221.7261,1220.7123,1220.6674,1220.7594,1220.7592
2011-10-25,1222.3123,1221.7445,1220.5831,1220.8424,1220.8014,1220.784,1220.7366
2011-10-26,1221.7976,1220.7343,1220.7126,1220.7812,1220.8591,1220.7173,1220.8038
2011-10-27,1220.8232,1220.8859,1220.7268,1220.837,1220.8114,1220.7676,1220.7728
2011-10-28,1220.5979,1220.611,1220.7831,1220.7614,1220.7421,1220.7983,1220.8339
2011-10-30,1220.6799,1220.9171,1220.8389,1220.7112,1220.8741,1220.8209,1220.7012
2011-10-31,1220.8419,1220.6814,1220.8575,1220.8433,1220.8357,1220.7776,1220.6896
2011-11-01,1220.8351,1220.7328,1220.9276,1220.7811,1220.779,1220.6969,1220.8628
2011-11-02,1220.7018,1220.8877,1220.7714,1220.8372,1220.7053,1220.8436,1221.7366
2011-11-03,1220.7776,1220.6085,1220.7942,1220.7612,1220.7692,1221.7777,1222.1674
2011-11-04,1220.7495,1220.9196,1220.8812,1220.7112,1221.7023,1222.2205,1226.0973
2011-11-06,1220.8093,1220.6802,1220.7938,1221.6323,1222.253,1225.9843,1227.2174
2011-11-07,1220.7966,1220.7319,1221.7244,1222.1196,1225.9762,1227.1476,1227.4872
2011-11-08,1220.7622,1221.7699,1222.2778,1226.033,1227.1526,1227.531,1227.5787
2011-11-09,1221.6432,1222.0981,1225.9998,1227.0206,1227.4785,1227.7767,1228.0271
2011-11-10,1222.2278,1225.9995,1227.1403,1227.3805,1227.6654,1228.0074,1227.904
2011-11-11,1225.875,1227.0688,1227.5369,1227.7095,1227.9346,1227.956,1227.9745
2011-11-13,1227.2793,1227.4855,1227.753,1227.9602,1227.9191,1227.8005,1228.6411
2011-11-14,1227.4318,1227.6937,1227.9757,1227.8917,1227.909,1228.6838,1228.6251
2011-11-15,1227.7681,1227.9287,1227.9531,1227.9028,1228.7352,1228.6716,1232.5883
2011-11-16,1227.9131,1228.0205,1227.8523,1228.7009,1228.735,1232.8678,1235.2593
2011-11-17,1227.9592,1227.9178,1228.6254,1228.7286,1232.6694,1235.2599,1248.5668
2011-11-18,1227.8932,1228.6956,1228.6301,1232.7441,1235.2612,1248.5005,1255.9851
2011-11-20,1228.7876,1228.5568,1232.8134,1235.3595,1248.1495,1255.7034,1256.7957
2011-11-21,1228.7448,1232.8721,1235.2798,1248.566,1255.7032,1256.7976,1259.7087
2011-11-22,1232.761,1235.1897,1248.6278,1255.8378,1256.7241,1259.9479,1264.9745
2011-11-23,1235.1322,1248.5281,1255.6257,1256.7161,1259.9255,1264.822,1268.9105
2011-11-24,1248.7512,1255.9097,1256.687,1259.8112,1264.8246,1268.9639,1269.8434
2011-11-25,1255.7856,1256.6384,1259.8496,1264.9686,1268.9053,1269.7764,1271.1023
2011-11-27,1256.714,1259.7976,1264.9083,1269.0521,1269.8824,1271.0455,1271.272
2011-11-28,1259.6086,1264.9109,1268.9498,1269.8168,1271.0791,1271.372,1273.6727
2011-11-29,1264.9287,1268.845,1269.6531,1271.1023,1271.4447,1273.6361,1275.2822
2011-11-30,1269.0099,1269.879,1271.1213,1271.3807,1273.6802,1275.3478,1278.7472
2011-12-01,1269.8416,1271.1221,1271.4055,1273.6985,1275.252,1278.8309,1280.0062
2011-12-02,1271.2288,1271.267,1273.8071,1275.4463,1278.9628,1280.1927,1283.6412
2011-12-04,1271.5198,1273.7235,1275.2927,1278.7556,1280.1471,1283.326,1284.5117
2011-12-05,1273.6843,1275.2406,1278.7413,1280.2518,1283.4032,1284.6354,1284.4769
2011-12-06,1275.2291,1278.7156,1280.2102,1283.5046,1284.743,1284.6942,1284.6268
2011-12-07,1278.6599,1280.1041,1283.5619,1284.5858,1284.6129,1284.6254,1284.6548
2011-12-08,1280.0602,1283.2777,1284.6855,1284.5687,1284.6025,1284.6536,1284.5923
2011-12-09,1283.2949,1284.5903,1284.5299,1284.5377,1284.6895,1284.59,1284.6266
2011-12-11,1284.5365,1284.5107,1284.4984,1284.5979,1284.4967,1284.6256,1284.5691
2011-12-12,1284.5465,1284.6042,1284.6548,1284.681,1284.5747,1284.5676,1284.608
2011-12-13,1284.6406,1284.615,1284.6862,1284.6559,1284.5588,1284.6067,1284.6394
2011-12-14,1284.5358,1284.3989,1284.5289,1284.6085,1284.5848,1284.6385,1284.5792
2011-12-15,1284.5461,1284.5153,1284.4974,1284.676,1284.6488,1284.577,1283.3151
2011-12-16,1284.6411,1284.5286,1284.6552,1284.6556,1284.6364,1283.3318,1282.0461
2011-12-18,1284.5354,1284.4832,1284.6868,1284.617,1283.4021,1282.0253,1278.8414
