,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD
2011-11-14,1223.5719,1224.5413,1229.4412,1231.9867,1234.4622,1234.4028,1234.5044
2011-11-15,1224.5848,1229.4917,1231.8981,1234.4585,1234.5094,1234.4902,1234.4772
2011-11-16,1229.4064,1231.9825,1234.4917,1234.5052,1234.507,1234.6033,1234.4596
2011-11-17,1231.9247,1234.389,1234.551,1234.5016,1234.4629,1234.6074,1234.4967
2011-11-18,1234.5452,1234.3838,1234.5154,1234.4564,1234.5142,1234.5217,1234.4327
2011-11-20,1234.502,1234.469,1234.5302,1234.5077,1234.5093,1234.4092,1234.4889
2011-11-21,1234.5697,1234.5807,1234.4928,1234.5024,1234.4631,1234.4061,1234.484
2011-11-22,1234.4601,1234.5834,1234.4988,1234.4562,1234.5145,1234.494,1234.4685
2011-11-23,1234.4929,1234.4967,1234.4646,1234.5079,1234.5095,1234.6086,1234.5527
2011-11-24,1234.5173,1234.3834,1234.4703,1234.5027,1234.4626,1234.6112,1234.501
2011-11-25,1234.4479,1234.3806,1234.478,1234.4556,1234.5146,1234.5222,1234.4884
2011-11-27,1234.5366,1234.4692,1234.4355,1234.5085,1234.51,1234.4069,1235.7811
2011-11-28,1234.5045,1234.5853,1234.4645,1234.5044,1234.4636,1235.775,1238.079
2011-11-29,1234.498,1234.5898,1234.4756,1234.4586,1235.75,1238.0724,1241.0847
2011-11-30,1234.5,1234.5026,1234.5039,1235.7507,1238.1158,1241.1083,1241.4042
2011-12-01,1234.5068,1234.3884,1235.7672,1238.0647,1241.1136,1241.3358,1241.3157
2011-12-02,1234.4521,1235.8235,1238.0416,1241.0497,1241.3518,1241.4158,1242.1685
2011-12-04,1235.7933,1238.0514,1241.0209,1241.387,1241.3724,1242.295,1243.5397
2011-12-05,1238.0034,1241.0391,1241.3561,1241.3451,1242.2811,1243.6064,1243.6135
2011-12-06,1241.1302,1241.388,1241.4064,1242.3214,1243.5876,1243.5117,1243.581
2011-12-07,1241.3586,1241.3833,1242.2677,1243.5524,1243.5942,1243.5658,1242.3214
2011-12-08,1241.376,1242.2136,1243.5123,1243.5635,1243.5066,1242.2811,1241.3638
2011-12-09,1242.2535,1243.523,1243.5662,1243.5292,1242.2163,1241.3318,1241.3318
2011-12-11,1243.4989,1243.525,1243.5607,1242.2804,1241.347,1241.3989,1241.3826
2011-12-12,1243.5464,1243.5148,1242.2434,1241.2981,1241.421,1241.3577,1241.0883
2011-12-13,1243.5203,1242.2438,1241.3308,1241.3633,1241.2932,1241.0653,1240.6454
2011-12-14,1242.1967,1241.3536,1241.3336,1241.3662,1241.0117,1240.6127,1236.524
2011-12-15,1241.3689,1241.3967,1241.3359,1241.0768,1240.5773,1236.5155,1235.8121
2011-12-16,1241.2832,1241.3768,1241.0085,1240.6338,1236.4783,1235.8016,1235.1686
2011-12-18,1241.3762,1241.0314,1240.6321,1236.5299,1235.7782,1235.2151,1235.1456
2011-12-19,1241.1089,1240.5527,1236.4657,1235.8766,1235.0979,1235.1909,1235.1584
2011-12-20,1240.5933,1236.5034,1235.7812,1235.2052,1235.1754,1235.1488,1235.1239
2011-12-21,1236.5442,1235.8125,1235.166,1235.1628,1235.1879,1235.2147,1235.0884
