,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
2011-11-25,221.18263,221.755,222.51254,222.59195,222.94806,224.19241,224.93372
2011-11-27,221.67896,222.539,222.58707,222.93704,224.18423,225.00911,225.90854
2011-11-28,222.49373,222.59384,222.96768,224.17151,224.94415,225.86374,225.92291
2011-11-29,222.55585,222.95865,224.2055,224.93103,225.92624,225.8866,225.95863
2011-11-30,222.98312,224.18216,224.98264,225.85007,225.88843,225.9986,226.00941
2011-12-01,224.23999,224.96036,225.83499,225.90604,226.05157,225.94305,225.98477
2011-12-02,224.9239,225.8944,225.9615,225.94456,225.9805,226.04254,225.93329
2011-12-04,225.91116,225.92642,226.00552,225.98218,225.94403,225.9313,226.06433
2011-12-05,225.93387,225.99265,225.97488,225.98788,225.99194,226.06381,226.1765
2011-12-06,225.97444,226.00488,225.98752,225.9989,226.08075,226.25485,226.2225
2011-12-07,225.96469,225.98238,225.9746,226.09802,226.20953,226.19452,226.30737
2011-12-08,225.9601,225.95248,226.04166,226.20712,226.18121,226.35437,226.79965
2011-12-09,225.97153,226.03136,226.20404,226.23424,226.32869,226.7973,226.8425
2011-12-11,226.07257,226.19675,226.21117,226.3305,226.77577,226.84805,227.61751
2011-12-12,226.18777,226.16937,226.3117,226.67642,226.87775,227.55418,227.89127
2011-12-13,226.20273,226.30925,226.75967,226.88089,227.60013,227.84424,227.99152
2011-12-14,226.33504,226.8566,226.86911,227.6267,227.84491,227.93347,228.73631
2011-12-15,226.79694,226.83682,227.60968,227.84412,227.93881,228.77165,229.4836
2011-12-16,226.81711,227.61264,227.8856,227.96207,228.7544,229.4491,230.12717
2011-12-18,227.59901,227.8757,227.92853,228.78032,229.4783,230.1289,230.3634
2011-12-19,227.8487,227.95383,228.75311,229.42642,230.16733,230.3815,230.81952
2011-12-20,227.92871,228.75357,229.44873,230.15001,230.3427,230.8143,231.09854
2011-12-21,228.77707,229.42351,230.15283,230.37569,230.75842,231.10454,231.21628
2011-12-22,229.42224,230.17203,230.3858,230.80957,231.09622,231.19379,231.69876
2011-12-23,230.1345,230.31296,230.8132,231.07782,231.1597,231.73541,231.69821
2011-12-27,230.36572,230.76508,231.11926,231.1937,231.72379,231.73236,231.7274
2011-12-28,230.83324,231.14243,231.16873,231.76367,231.68832,231.72739,231.99988
2011-12-29,231.06097,231.1601,231.7647,231.70012,231.7316,232.06096,232.12665
2011-12-30,231.18365,231.67815,231.76534,231.7162,232.05765,232.13432,232.2845
2012-01-02,231.69159,231.69467,231.70796,232.0682,232.15039,232.28575,232.47104
2012-01-03,231.72096,231.7481,232.09747,232.1601,232.29706,232.46652,232.60696
2012-01-04,231.69644,232.0448,232.17358,232.27496,232.43579,232.61755,233.0819
2012-01-05,231.96053,232.14789,232.31049,232.47601,232.6246,233.08905,233.16243
2012-01-06,232.10951,232.3197,232.47678,232.55293,233.1388,233.09552,233.16467
2012-01-08,232.28568,232.49237,232.54736,233.16595,233.04002,233.09625,233.10216
2012-01-09,232.46786,232.60532,233.07333,233.13422,233.14996,233.07446,233.70538
2012-01-10,232.59827,233.05383,233.09224,233.04395,233.06525,233.7549,234.26514
2012-01-11,233.095,233.14084,233.07321,233.0039,233.7345,234.22537,234.29593
2012-01-12,233.10545,233.05997,233.09224,233.67795,234.23465,234.26389,234.86139
2012-01-13,233.05127,233.08453,233.67953,234.16504,234.2767,234.86429,234.97343
